observation_date,HOUST_19860415
1975-02-01,904
1975-03-01,993
1975-04-01,1005
1975-05-01,1121
1975-06-01,1087
1975-07-01,1226
1975-08-01,1260
1975-09-01,1264
1975-10-01,1344
1975-11-01,1360
1975-12-01,1321
1976-01-01,1367
1976-02-01,1538
1976-03-01,1421
1976-04-01,1395
1976-05-01,1459
1976-06-01,1495
1976-07-01,1401
1976-08-01,1550
1976-09-01,1720
1976-10-01,1629
1976-11-01,1641
1976-12-01,1804
1977-01-01,1527
1977-02-01,1943
1977-03-01,2063
1977-04-01,1892
1977-05-01,1971
1977-06-01,1893
1977-07-01,2058
1977-08-01,2020
1977-09-01,1949
1977-10-01,2042
1977-11-01,2042
1977-12-01,2142
1978-01-01,1718
1978-02-01,1738
1978-03-01,2032
1978-04-01,2197
1978-05-01,2075
1978-06-01,2070
1978-07-01,2092
1978-08-01,1996
1978-09-01,1970
1978-10-01,1981
1978-11-01,2094
1978-12-01,2044
1979-01-01,1630
1979-02-01,1520
1979-03-01,1847
1979-04-01,1748
1979-05-01,1876
1979-06-01,1913
1979-07-01,1760
1979-08-01,1778
1979-09-01,1832
1979-10-01,1681
1979-11-01,1524
1979-12-01,1498
1980-01-01,1341
1980-02-01,1350
1980-03-01,1047
1980-04-01,1051
1980-05-01,927
1980-06-01,1196
1980-07-01,1269
1980-08-01,1436
1980-09-01,1471
1980-10-01,1523
1980-11-01,1510
1980-12-01,1482
1981-01-01,1547
1981-02-01,1246
1981-03-01,1306
1981-04-01,1360
1981-05-01,1140
1981-06-01,1045
1981-07-01,1041
1981-08-01,940
1981-09-01,911
1981-10-01,873
1981-11-01,837
1981-12-01,910
1982-01-01,843
1982-02-01,866
1982-03-01,931
1982-04-01,917
1982-05-01,1025
1982-06-01,902
1982-07-01,1166
1982-08-01,1046
1982-09-01,1144
1982-10-01,1173
1982-11-01,1372
1982-12-01,1303
1983-01-01,1586
1983-02-01,1699
1983-03-01,1606
1983-04-01,1472
1983-05-01,1776
1983-06-01,1733
1983-07-01,1785
1983-08-01,1910
1983-09-01,1710
1983-10-01,1715
1983-11-01,1785
1983-12-01,1688
1984-01-01,1892
1984-02-01,2213
1984-03-01,1671
1984-04-01,1880
1984-05-01,1786
1984-06-01,1853
1984-07-01,1733
1984-08-01,1589
1984-09-01,1702
1984-10-01,1582
1984-11-01,1649
1984-12-01,1607
1985-01-01,1804
1985-02-01,1632
1985-03-01,1849
1985-04-01,1851
1985-05-01,1684
1985-06-01,1693
1985-07-01,1673
1985-08-01,1737
1985-09-01,1653
1985-10-01,1784
1985-11-01,1654
1985-12-01,1882
1986-01-01,2056
1986-02-01,1985
