observation_date,STLFSI4_20230215
1996-09-06,-0.2164
1996-09-13,-0.1524
1996-09-20,-0.1860
1996-09-27,-0.0845
1996-10-04,-0.0857
1996-10-11,-0.0804
1996-10-18,-0.1634
1996-10-25,-0.2174
1996-11-01,-0.0764
1996-11-08,-0.2442
1996-11-15,-0.2325
1996-11-22,-0.3274
1996-11-29,-0.3016
1996-12-06,-0.1696
1996-12-13,-0.0979
1996-12-20,-0.2112
1996-12-27,-0.1136
1997-01-03,-0.3895
1997-01-10,-0.1441
1997-01-17,-0.3350
1997-01-24,-0.3740
1997-01-31,-0.2795
1997-02-07,-0.2245
1997-02-14,-0.3208
1997-02-21,-0.3922
1997-02-28,-0.4477
1997-03-07,-0.2732
1997-03-14,-0.3358
1997-03-21,-0.3399
1997-03-28,-0.4296
1997-04-04,-0.1637
1997-04-11,-0.1446
1997-04-18,-0.2844
1997-04-25,-0.2724
1997-05-02,-0.2884
1997-05-09,-0.2395
1997-05-16,-0.2314
1997-05-23,-0.3125
1997-05-30,-0.2746
1997-06-06,-0.1331
1997-06-13,-0.3088
1997-06-20,-0.2402
1997-06-27,-0.1467
1997-07-04,-0.4176
1997-07-11,-0.1420
1997-07-18,-0.3282
1997-07-25,-0.3413
1997-08-01,-0.4389
1997-08-08,-0.3858
1997-08-15,-0.2980
1997-08-22,-0.2572
1997-08-29,-0.2928
1997-09-05,-0.2232
1997-09-12,-0.2005
1997-09-19,-0.1763
1997-09-26,-0.1664
1997-10-03,-0.2117
1997-10-10,-0.2444
1997-10-17,-0.2714
1997-10-24,-0.1878
1997-10-31,0.6087
1997-11-07,-0.1008
1997-11-14,0.2897
1997-11-21,-0.1874
1997-11-28,-0.1635
1997-12-05,-0.3486
1997-12-12,-0.0848
1997-12-19,-0.1179
1997-12-26,0.0762
1998-01-02,-0.5006
1998-01-09,0.2635
1998-01-16,-0.0904
1998-01-23,-0.2839
1998-01-30,-0.2625
1998-02-06,-0.3080
1998-02-13,-0.3670
1998-02-20,-0.3559
1998-02-27,-0.5185
1998-03-06,-0.3634
1998-03-13,-0.2637
1998-03-20,-0.4341
1998-03-27,-0.3780
1998-04-03,-0.2257
1998-04-10,-0.2325
1998-04-17,-0.3459
1998-04-24,-0.2547
1998-05-01,-0.1562
1998-05-08,-0.1490
1998-05-15,-0.4039
1998-05-22,-0.2856
1998-05-29,-0.1956
1998-06-05,-0.2405
1998-06-12,-0.2289
1998-06-19,-0.1519
1998-06-26,-0.2238
1998-07-03,-0.4559
1998-07-10,-0.1827
1998-07-17,-0.4873
1998-07-24,-0.2154
1998-07-31,-0.1673
1998-08-07,0.0994
1998-08-14,0.2341
1998-08-21,0.1634
1998-08-28,0.8265
1998-09-04,1.1325
1998-09-11,0.8037
1998-09-18,0.5438
1998-09-25,0.6353
1998-10-02,0.9853
1998-10-09,1.8527
1998-10-16,1.0723
1998-10-23,0.8490
1998-10-30,0.6972
1998-11-06,0.3715
1998-11-13,0.5749
1998-11-20,0.2909
1998-11-27,-0.0673
1998-12-04,0.5152
1998-12-11,0.4142
1998-12-18,0.4729
1998-12-25,0.1157
1999-01-01,0.3432
1999-01-08,0.0745
1999-01-15,0.4751
1999-01-22,0.4494
1999-01-29,0.2164
1999-02-05,0.1040
1999-02-12,0.1779
1999-02-19,0.0345
1999-02-26,-0.0119
1999-03-05,0.0183
1999-03-12,0.0741
1999-03-19,0.0419
1999-03-26,0.0877
1999-04-02,0.0221
1999-04-09,0.1004
1999-04-16,-0.0503
1999-04-23,0.0124
1999-04-30,-0.1360
1999-05-07,-0.0572
1999-05-14,-0.0032
1999-05-21,0.1298
1999-05-28,0.2507
1999-06-04,0.0410
1999-06-11,0.0655
1999-06-18,0.1075
1999-06-25,-0.0052
1999-07-02,0.0459
1999-07-09,0.0664
1999-07-16,0.1824
1999-07-23,0.1808
1999-07-30,0.1802
1999-08-06,0.3378
1999-08-13,0.2141
1999-08-20,0.1887
1999-08-27,0.0821
1999-09-03,0.1545
1999-09-10,0.2728
1999-09-17,0.2817
1999-09-24,0.3334
1999-10-01,0.2458
1999-10-08,0.3656
1999-10-15,0.4683
1999-10-22,0.3558
1999-10-29,0.1407
1999-11-05,0.3057
1999-11-12,0.1451
1999-11-19,-0.0912
1999-11-26,-0.0194
1999-12-03,0.0943
1999-12-10,0.1752
1999-12-17,0.0265
1999-12-24,-0.0192
1999-12-31,0.2319
2000-01-07,-0.0823
2000-01-14,-0.1035
2000-01-21,-0.0480
2000-01-28,0.0351
2000-02-04,-0.0908
2000-02-11,0.0511
2000-02-18,0.1223
2000-02-25,0.2355
2000-03-03,-0.0484
2000-03-10,0.0131
2000-03-17,-0.0225
2000-03-24,-0.1614
2000-03-31,0.1769
2000-04-07,0.4262
2000-04-14,0.4208
2000-04-21,0.3681
2000-04-28,0.2260
2000-05-05,0.3715
2000-05-12,0.4169
2000-05-19,0.1957
2000-05-26,0.5383
2000-06-02,0.4389
2000-06-09,0.3890
2000-06-16,0.3508
2000-06-23,0.3729
2000-06-30,0.3175
2000-07-07,0.2597
2000-07-14,0.1053
2000-07-21,0.0209
2000-07-28,0.0961
2000-08-04,0.1029
2000-08-11,-0.0443
2000-08-18,-0.0482
2000-08-25,-0.0165
2000-09-01,-0.1043
2000-09-08,0.0343
2000-09-15,0.0385
2000-09-22,0.1943
2000-09-29,0.0941
2000-10-06,0.1383
2000-10-13,0.6237
2000-10-20,0.4353
2000-10-27,0.2635
2000-11-03,0.0688
2000-11-10,0.2427
2000-11-17,0.3651
2000-11-24,0.4935
2000-12-01,0.5475
2000-12-08,0.6073
2000-12-15,0.4207
2000-12-22,0.8840
2000-12-29,0.6596
2001-01-05,0.8981
2001-01-12,0.4489
2001-01-19,0.2360
2001-01-26,0.2145
2001-02-02,0.3800
2001-02-09,0.3335
2001-02-16,0.2391
2001-02-23,0.6070
2001-03-02,0.5293
2001-03-09,0.3646
2001-03-16,0.7422
2001-03-23,1.0044
2001-03-30,0.4638
2001-04-06,0.9791
2001-04-13,0.6540
2001-04-20,0.5529
2001-04-27,0.7119
2001-05-04,0.2607
2001-05-11,0.3654
2001-05-18,0.3560
2001-05-25,0.3159
2001-06-01,0.3571
2001-06-08,0.3540
2001-06-15,0.4129
2001-06-22,0.4525
2001-06-29,0.2442
2001-07-06,0.2033
2001-07-13,0.5028
2001-07-20,0.4027
2001-07-27,0.2767
2001-08-03,0.2045
2001-08-10,0.2186
2001-08-17,0.3367
2001-08-24,0.4226
2001-08-31,0.3514
2001-09-07,0.4409
2001-09-14,1.4585
2001-09-21,1.9220
2001-09-28,0.6738
2001-10-05,1.0819
2001-10-12,0.7819
2001-10-19,0.7087
2001-10-26,0.6837
2001-11-02,1.0116
2001-11-09,0.8018
2001-11-16,0.2729
2001-11-23,0.4245
2001-11-30,0.6360
2001-12-07,0.7210
2001-12-14,0.7008
2001-12-21,0.7017
2001-12-28,0.5327
2002-01-04,0.5066
2002-01-11,0.5032
2002-01-18,0.5505
2002-01-25,0.2756
2002-02-01,0.4472
2002-02-08,0.6246
2002-02-15,0.3101
2002-02-22,0.4886
2002-03-01,0.3163
2002-03-08,0.1057
2002-03-15,0.0782
2002-03-22,0.2226
2002-03-29,0.2870
2002-04-05,0.3975
2002-04-12,0.3668
2002-04-19,0.2470
2002-04-26,0.3301
2002-05-03,0.2125
2002-05-10,0.2930
2002-05-17,0.0838
2002-05-24,0.3159
2002-05-31,0.2914
2002-06-07,0.4705
2002-06-14,0.5724
2002-06-21,0.6049
2002-06-28,0.9095
2002-07-05,0.7095
2002-07-12,0.8629
2002-07-19,0.9701
2002-07-26,1.4575
2002-08-02,0.8599
2002-08-09,1.2633
2002-08-16,1.0010
2002-08-23,0.7923
2002-08-30,0.7848
2002-09-06,1.2870
2002-09-13,0.9265
2002-09-20,1.2420
2002-09-27,1.3700
2002-10-04,1.1940
2002-10-11,1.4595
2002-10-18,0.6532
2002-10-25,0.9147
2002-11-01,1.1803
2002-11-08,0.9897
2002-11-15,0.9421
2002-11-22,0.4463
2002-11-29,0.5982
2002-12-06,0.8022
2002-12-13,0.8286
2002-12-20,0.6029
2002-12-27,0.8530
2003-01-03,0.8357
2003-01-10,0.3775
2003-01-17,0.5818
2003-01-24,0.8637
2003-01-31,0.8258
2003-02-07,0.8665
2003-02-14,0.8181
2003-02-21,0.5992
2003-02-28,0.6017
2003-03-07,0.6654
2003-03-14,0.7059
2003-03-21,0.3451
2003-03-28,0.5774
2003-04-04,0.4920
2003-04-11,0.3520
2003-04-18,0.1809
2003-04-25,0.1844
2003-05-02,0.1478
2003-05-09,0.1877
2003-05-16,0.2938
2003-05-23,0.5307
2003-05-30,0.3260
2003-06-06,0.2654
2003-06-13,0.3299
2003-06-20,0.1450
2003-06-27,0.3503
2003-07-04,0.2788
2003-07-11,0.1601
2003-07-18,0.0171
2003-07-25,0.0400
2003-08-01,0.1946
2003-08-08,0.4772
2003-08-15,0.0862
2003-08-22,0.1115
2003-08-29,0.0097
2003-09-05,0.0516
2003-09-12,0.1668
2003-09-19,-0.1356
2003-09-26,-0.0350
2003-10-03,0.0705
2003-10-10,-0.2559
2003-10-17,-0.4254
2003-10-24,-0.1469
2003-10-31,-0.2874
2003-11-07,-0.3745
2003-11-14,-0.2578
2003-11-21,-0.1084
2003-11-28,-0.4263
2003-12-05,-0.3390
2003-12-12,-0.2813
2003-12-19,-0.2892
2003-12-26,-0.2889
2004-01-02,-0.3399
2004-01-09,-0.4097
2004-01-16,-0.3734
2004-01-23,-0.5076
2004-01-30,-0.4530
2004-02-06,-0.4144
2004-02-13,-0.4875
2004-02-20,-0.5303
2004-02-27,-0.5507
2004-03-05,-0.6994
2004-03-12,-0.3325
2004-03-19,-0.4049
2004-03-26,-0.3631
2004-04-02,-0.7251
2004-04-09,-0.6667
2004-04-16,-0.5378
2004-04-23,-0.5109
2004-04-30,-0.4640
2004-05-07,-0.4675
2004-05-14,-0.3920
2004-05-21,-0.4914
2004-05-28,-0.6154
2004-06-04,-0.6103
2004-06-11,-0.7929
2004-06-18,-0.5671
2004-06-25,-0.5753
2004-07-02,-0.5493
2004-07-09,-0.4296
2004-07-16,-0.5987
2004-07-23,-0.5996
2004-07-30,-0.6014
2004-08-06,-0.3457
2004-08-13,-0.5178
2004-08-20,-0.5417
2004-08-27,-0.6750
2004-09-03,-0.5834
2004-09-10,-0.7044
2004-09-17,-0.6470
2004-09-24,-0.6748
2004-10-01,-0.6737
2004-10-08,-0.6606
2004-10-15,-0.4728
2004-10-22,-0.5418
2004-10-29,-0.7113
2004-11-05,-0.8468
2004-11-12,-0.8998
2004-11-19,-0.8067
2004-11-26,-0.8770
2004-12-03,-0.7737
2004-12-10,-0.7299
2004-12-17,-0.9414
2004-12-24,-0.8830
2004-12-31,-0.8824
2005-01-07,-0.7742
2005-01-14,-0.7458
2005-01-21,-0.7480
2005-01-28,-0.8261
2005-02-04,-0.9164
2005-02-11,-0.8716
2005-02-18,-0.9987
2005-02-25,-1.0133
2005-03-04,-0.9718
2005-03-11,-0.9911
2005-03-18,-0.8340
2005-03-25,-0.7884
2005-04-01,-0.7438
2005-04-08,-0.7510
2005-04-15,-0.7043
2005-04-22,-0.6318
2005-04-29,-0.7927
2005-05-06,-0.8001
2005-05-13,-0.6485
2005-05-20,-0.5417
2005-05-27,-0.8308
2005-06-03,-0.7190
2005-06-10,-0.7365
2005-06-17,-0.8457
2005-06-24,-0.7006
2005-07-01,-0.8271
2005-07-08,-0.7833
2005-07-15,-0.9397
2005-07-22,-0.8881
2005-07-29,-0.9704
2005-08-05,-0.9619
2005-08-12,-0.9266
2005-08-19,-0.8287
2005-08-26,-0.8454
2005-09-02,-0.6608
2005-09-09,-0.8693
2005-09-16,-0.8817
2005-09-23,-0.8262
2005-09-30,-0.8936
2005-10-07,-0.7567
2005-10-14,-0.6252
2005-10-21,-0.8654
2005-10-28,-0.9133
2005-11-04,-0.9461
2005-11-11,-0.8665
2005-11-18,-0.7487
2005-11-25,-0.7994
2005-12-02,-0.7597
2005-12-09,-0.7519
2005-12-16,-0.7628
2005-12-23,-0.7264
2005-12-30,-0.6793
2006-01-06,-0.8744
2006-01-13,-1.0315
2006-01-20,-0.8545
2006-01-27,-1.0399
2006-02-03,-1.0999
2006-02-10,-0.9613
2006-02-17,-1.0581
2006-02-24,-1.1364
2006-03-03,-1.1080
2006-03-10,-1.0092
2006-03-17,-1.0370
2006-03-24,-1.0849
2006-03-31,-1.0917
2006-04-07,-1.0609
2006-04-14,-0.9955
2006-04-21,-1.0635
2006-04-28,-1.1288
2006-05-05,-1.1351
2006-05-12,-1.1411
2006-05-19,-0.9130
2006-05-26,-0.8164
2006-06-02,-0.9589
2006-06-09,-0.8213
2006-06-16,-0.7778
2006-06-23,-0.8596
2006-06-30,-0.8938
2006-07-07,-1.0052
2006-07-14,-0.8050
2006-07-21,-0.8076
2006-07-28,-0.9539
2006-08-04,-0.9064
2006-08-11,-0.9468
2006-08-18,-1.0483
2006-08-25,-0.9958
2006-09-01,-0.9688
2006-09-08,-0.9419
2006-09-15,-0.9733
2006-09-22,-0.8482
2006-09-29,-0.8147
2006-10-06,-0.8781
2006-10-13,-1.0819
2006-10-20,-0.9974
2006-10-27,-1.0317
2006-11-03,-0.8961
2006-11-10,-1.0347
2006-11-17,-1.0226
2006-11-24,-0.9494
2006-12-01,-0.8126
2006-12-08,-0.9339
2006-12-15,-1.0309
2006-12-22,-0.9665
2006-12-29,-1.0061
2007-01-05,-0.9068
2007-01-12,-1.0267
2007-01-19,-1.1345
2007-01-26,-1.1654
2007-02-02,-1.1189
2007-02-09,-1.1023
2007-02-16,-1.1279
2007-02-23,-1.1449
2007-03-02,-0.6974
2007-03-09,-0.8118
2007-03-16,-0.8777
2007-03-23,-1.0439
2007-03-30,-0.9830
2007-04-06,-0.9909
2007-04-13,-1.0656
2007-04-20,-1.0484
2007-04-27,-1.0304
2007-05-04,-0.9441
2007-05-11,-1.0002
2007-05-18,-0.9776
2007-05-25,-1.0212
2007-06-01,-0.9664
2007-06-08,-0.8524
2007-06-15,-0.7791
2007-06-22,-0.7053
2007-06-29,-0.5866
2007-07-06,-0.8112
2007-07-13,-0.7244
2007-07-20,-0.7063
2007-07-27,-0.1698
2007-08-03,-0.0385
2007-08-10,0.0830
2007-08-17,1.1542
2007-08-24,1.2054
2007-08-31,0.9228
2007-09-07,1.3913
2007-09-14,1.4833
2007-09-21,0.6208
2007-09-28,0.6280
2007-10-05,0.5573
2007-10-12,0.2638
2007-10-19,0.6656
2007-10-26,0.7481
2007-11-02,0.4006
2007-11-09,1.0800
2007-11-16,1.0912
2007-11-23,1.8452
2007-11-30,1.9636
2007-12-07,1.8466
2007-12-14,1.7855
2007-12-21,1.6815
2007-12-28,1.2285
2008-01-04,1.5795
2008-01-11,1.2184
2008-01-18,0.9268
2008-01-25,1.5767
2008-02-01,0.8926
2008-02-08,1.4352
2008-02-15,1.2006
2008-02-22,1.0471
2008-02-29,1.3555
2008-03-07,2.3694
2008-03-14,1.9372
2008-03-21,2.2827
2008-03-28,1.5472
2008-04-04,1.6123
2008-04-11,1.7625
2008-04-18,1.7667
2008-04-25,1.5487
2008-05-02,1.2631
2008-05-09,1.1587
2008-05-16,0.9228
2008-05-23,0.8528
2008-05-30,0.8474
2008-06-06,1.2379
2008-06-13,1.0959
2008-06-20,1.1771
2008-06-27,1.6529
2008-07-04,1.7433
2008-07-11,1.6921
2008-07-18,1.6320
2008-07-25,1.0744
2008-08-01,1.5638
2008-08-08,1.4435
2008-08-15,1.4252
2008-08-22,1.6759
2008-08-29,1.4406
2008-09-05,1.7138
2008-09-12,1.8566
2008-09-19,3.9716
2008-09-26,4.3182
2008-10-03,6.9936
2008-10-10,9.2451
2008-10-17,9.1374
2008-10-24,7.7490
2008-10-31,7.4220
2008-11-07,5.9846
2008-11-14,5.7392
2008-11-21,7.4100
2008-11-28,6.5942
2008-12-05,6.7360
2008-12-12,6.2880
2008-12-19,5.7617
2008-12-26,4.5681
2009-01-02,4.7053
2009-01-09,3.4997
2009-01-16,3.6251
2009-01-23,4.0781
2009-01-30,3.8131
2009-02-06,3.3800
2009-02-13,3.4183
2009-02-20,3.9794
2009-02-27,3.9421
2009-03-06,4.5626
2009-03-13,3.7289
2009-03-20,3.1703
2009-03-27,3.0340
2009-04-03,2.8640
2009-04-10,2.6171
2009-04-17,2.4313
2009-04-24,2.6520
2009-05-01,2.1722
2009-05-08,1.4398
2009-05-15,1.9252
2009-05-22,1.4482
2009-05-29,1.2426
2009-06-05,1.1187
2009-06-12,0.8905
2009-06-19,1.5185
2009-06-26,1.5717
2009-07-03,1.1345
2009-07-10,1.3777
2009-07-17,0.9009
2009-07-24,0.6914
2009-07-31,0.4376
2009-08-07,0.1030
2009-08-14,0.7277
2009-08-21,0.9013
2009-08-28,0.4732
2009-09-04,0.6440
2009-09-11,0.2831
2009-09-18,-0.0291
2009-09-25,0.1125
2009-10-02,0.3650
2009-10-09,0.2110
2009-10-16,0.0495
2009-10-23,0.1228
2009-10-30,0.3352
2009-11-06,0.3146
2009-11-13,-0.0284
2009-11-20,0.1015
2009-11-27,0.0833
2009-12-04,-0.0177
2009-12-11,-0.0923
2009-12-18,-0.2259
2009-12-25,-0.3296
2010-01-01,-0.2924
2010-01-08,-0.4434
2010-01-15,-0.4040
2010-01-22,-0.1386
2010-01-29,-0.0240
2010-02-05,-0.1264
2010-02-12,0.0225
2010-02-19,-0.2953
2010-02-26,-0.2882
2010-03-05,-0.3302
2010-03-12,-0.6395
2010-03-19,-0.4945
2010-03-26,-0.4800
2010-04-02,-0.4302
2010-04-09,-0.5371
2010-04-16,-0.4961
2010-04-23,-0.4782
2010-04-30,-0.2564
2010-05-07,0.3635
2010-05-14,0.2652
2010-05-21,0.8971
2010-05-28,0.9179
2010-06-04,0.7113
2010-06-11,0.8746
2010-06-18,0.4064
2010-06-25,0.5006
2010-07-02,0.8526
2010-07-09,0.4574
2010-07-16,0.2566
2010-07-23,0.4134
2010-07-30,0.0774
2010-08-06,0.1248
2010-08-13,0.3350
2010-08-20,0.3739
2010-08-27,0.3773
2010-09-03,0.1924
2010-09-10,-0.0315
2010-09-17,-0.0662
2010-09-24,0.0264
2010-10-01,0.0427
2010-10-08,-0.0618
2010-10-15,-0.2763
2010-10-22,-0.1456
2010-10-29,-0.3000
2010-11-05,-0.1980
2010-11-12,-0.3314
2010-11-19,-0.0834
2010-11-26,-0.0351
2010-12-03,-0.0878
2010-12-10,-0.3698
2010-12-17,-0.2832
2010-12-24,-0.3011
2010-12-31,-0.3007
2011-01-07,-0.3810
2011-01-14,-0.3627
2011-01-21,-0.3936
2011-01-28,-0.3279
2011-02-04,-0.4616
2011-02-11,-0.5416
2011-02-18,-0.3663
2011-02-25,-0.1401
2011-03-04,-0.2965
2011-03-11,-0.3043
2011-03-18,0.0298
2011-03-25,-0.4070
2011-04-01,-0.4250
2011-04-08,-0.4899
2011-04-15,-0.4395
2011-04-22,-0.4529
2011-04-29,-0.5684
2011-05-06,-0.3845
2011-05-13,-0.4165
2011-05-20,-0.3772
2011-05-27,-0.3445
2011-06-03,-0.2655
2011-06-10,-0.2134
2011-06-17,-0.2034
2011-06-24,-0.1857
2011-07-01,-0.4798
2011-07-08,-0.4184
2011-07-15,-0.0661
2011-07-22,-0.3615
2011-07-29,-0.3327
2011-08-05,0.3066
2011-08-12,1.2423
2011-08-19,0.4528
2011-08-26,0.7683
2011-09-02,0.4297
2011-09-09,0.8280
2011-09-16,0.6686
2011-09-23,1.0159
2011-09-30,1.0207
2011-10-07,1.2724
2011-10-14,0.3565
2011-10-21,0.5805
2011-10-28,0.2230
2011-11-04,0.7937
2011-11-11,0.6895
2011-11-18,0.9239
2011-11-25,1.1312
2011-12-02,0.5764
2011-12-09,0.5363
2011-12-16,0.7992
2011-12-23,0.5484
2011-12-30,0.5573
2012-01-06,0.4334
2012-01-13,0.4732
2012-01-20,0.3330
2012-01-27,0.2220
2012-02-03,0.2132
2012-02-10,-0.0008
2012-02-17,0.1138
2012-02-24,-0.0192
2012-03-02,-0.0276
2012-03-09,0.0769
2012-03-16,-0.2982
2012-03-23,-0.1611
2012-03-30,-0.0423
2012-04-06,-0.0143
2012-04-13,0.2144
2012-04-20,-0.0375
2012-04-27,-0.0847
2012-05-04,-0.1422
2012-05-11,0.0234
2012-05-18,0.3636
2012-05-25,0.2682
2012-06-01,0.3765
2012-06-08,0.3427
2012-06-15,0.1329
2012-06-22,-0.0262
2012-06-29,0.0371
2012-07-06,-0.0427
2012-07-13,0.0599
2012-07-20,-0.1021
2012-07-27,0.0293
2012-08-03,-0.2127
2012-08-10,-0.2599
2012-08-17,-0.1959
2012-08-24,-0.2301
2012-08-31,-0.1334
2012-09-07,-0.2683
2012-09-14,-0.5509
2012-09-21,-0.5918
2012-09-28,-0.2740
2012-10-05,-0.4936
2012-10-12,-0.5322
2012-10-19,-0.6639
2012-10-26,-0.4125
2012-11-02,-0.3899
2012-11-09,-0.3672
2012-11-16,-0.2581
2012-11-23,-0.6062
2012-11-30,-0.5394
2012-12-07,-0.5824
2012-12-14,-0.6484
2012-12-21,-0.6373
2012-12-28,-0.4283
2013-01-04,-0.6985
2013-01-11,-0.6773
2013-01-18,-0.6886
2013-01-25,-0.7252
2013-02-01,-0.6422
2013-02-08,-0.5879
2013-02-15,-0.7247
2013-02-22,-0.6800
2013-03-01,-0.5597
2013-03-08,-0.8109
2013-03-15,-0.8491
2013-03-22,-0.6246
2013-03-29,-0.6816
2013-04-05,-0.5996
2013-04-12,-0.7714
2013-04-19,-0.5491
2013-04-26,-0.7429
2013-05-03,-0.7202
2013-05-10,-0.8393
2013-05-17,-0.6864
2013-05-24,-0.5993
2013-05-31,-0.4494
2013-06-07,-0.1617
2013-06-14,-0.2289
2013-06-21,-0.2035
2013-06-28,-0.0301
2013-07-05,-0.2042
2013-07-12,-0.3805
2013-07-19,-0.5547
2013-07-26,-0.5497
2013-08-02,-0.4369
2013-08-09,-0.4721
2013-08-16,-0.4483
2013-08-23,-0.2779
2013-08-30,-0.2224
2013-09-06,-0.3329
2013-09-13,-0.3864
2013-09-20,-0.4878
2013-09-27,-0.3956
2013-10-04,-0.3276
2013-10-11,-0.4612
2013-10-18,-0.6108
2013-10-25,-0.6273
2013-11-01,-0.5973
2013-11-08,-0.5901
2013-11-15,-0.6390
2013-11-22,-0.7028
2013-11-29,-0.6378
2013-12-06,-0.5312
2013-12-13,-0.5683
2013-12-20,-0.6321
2013-12-27,-0.7487
2014-01-03,-0.6240
2014-01-10,-0.6930
2014-01-17,-0.6915
2014-01-24,-0.6021
2014-01-31,-0.4134
2014-02-07,-0.4204
2014-02-14,-0.7594
2014-02-21,-0.6469
2014-02-28,-0.6963
2014-03-07,-0.6928
2014-03-14,-0.6436
2014-03-21,-0.6832
2014-03-28,-0.6794
2014-04-04,-0.6760
2014-04-11,-0.5651
2014-04-18,-0.6803
2014-04-25,-0.7896
2014-05-02,-0.7164
2014-05-09,-0.7080
2014-05-16,-0.7525
2014-05-23,-0.7607
2014-05-30,-0.8092
2014-06-06,-0.8519
2014-06-13,-0.8611
2014-06-20,-0.8841
2014-06-27,-0.8376
2014-07-04,-0.8391
2014-07-11,-0.7742
2014-07-18,-0.7271
2014-07-25,-0.7438
2014-08-01,-0.6487
2014-08-08,-0.4809
2014-08-15,-0.7163
2014-08-22,-0.7801
2014-08-29,-0.7200
2014-09-05,-0.6897
2014-09-12,-0.6113
2014-09-19,-0.6153
2014-09-26,-0.4184
2014-10-03,-0.3900
2014-10-10,-0.3471
2014-10-17,0.0986
2014-10-24,-0.5136
2014-10-31,-0.5398
2014-11-07,-0.5239
2014-11-14,-0.5101
2014-11-21,-0.3744
2014-11-28,-0.4528
2014-12-05,-0.3781
2014-12-12,-0.1189
2014-12-19,-0.0253
2014-12-26,-0.5268
2015-01-02,-0.1788
2015-01-09,0.0776
2015-01-16,0.0952
2015-01-23,-0.0838
2015-01-30,-0.0482
2015-02-06,-0.2371
2015-02-13,-0.3638
2015-02-20,-0.3187
2015-02-27,-0.2698
2015-03-06,-0.3501
2015-03-13,-0.2019
2015-03-20,-0.1848
