observation_date,TOTALSL_19970215
1950-06-01,21.2
1950-07-01,22.1
1950-08-01,22.7
1950-09-01,23.1
1950-10-01,23.2
1950-11-01,23.3
1950-12-01,23.2
1951-01-01,23.8
1951-02-01,24.1
1951-03-01,24.4
1951-04-01,24.0
1951-05-01,24.0
1951-06-01,23.9
1951-07-01,23.7
1951-08-01,23.9
1951-09-01,24.1
1951-10-01,24.3
1951-11-01,24.7
1951-12-01,24.6
1952-01-01,24.7
1952-02-01,25.0
1952-03-01,25.2
1952-04-01,25.4
1952-05-01,26.2
1952-06-01,26.8
1952-07-01,27.2
1952-08-01,27.5
1952-09-01,28.0
1952-10-01,28.5
1952-11-01,29.1
1952-12-01,29.7
1953-01-01,30.4
1953-02-01,30.8
1953-03-01,31.7
1953-04-01,32.0
1953-05-01,32.5
1953-06-01,32.6
1953-07-01,32.8
1953-08-01,33.1
1953-09-01,33.3
1953-10-01,33.5
1953-11-01,33.7
1953-12-01,33.7
1954-01-01,34.0
1954-02-01,33.6
1954-03-01,33.5
1954-04-01,33.6
1954-05-01,33.8
1954-06-01,33.9
1954-07-01,34.0
1954-08-01,34.0
1954-09-01,34.2
1954-10-01,34.3
1954-11-01,34.7
1954-12-01,35.0
1955-01-01,35.3
1955-02-01,35.9
1955-03-01,36.6
1955-04-01,37.2
1955-05-01,37.9
1955-06-01,38.6
1955-07-01,39.0
1955-08-01,39.7
1955-09-01,40.4
1955-10-01,40.8
1955-11-01,41.4
1955-12-01,41.9
1956-01-01,42.0
1956-02-01,42.5
1956-03-01,43.3
1956-04-01,43.4
1956-05-01,43.9
1956-06-01,44.1
1956-07-01,44.1
1956-08-01,44.5
1956-09-01,44.8
1956-10-01,44.9
1956-11-01,45.4
1956-12-01,45.4
1957-01-01,45.6
1957-02-01,46.0
1957-03-01,46.3
1957-04-01,46.5
1957-05-01,47.0
1957-06-01,47.0
1957-07-01,47.3
1957-08-01,47.6
1957-09-01,47.8
1957-10-01,47.8
1957-11-01,48.0
1957-12-01,48.1
1958-01-01,48.2
1958-02-01,48.1
1958-03-01,47.8
1958-04-01,47.6
1958-05-01,47.7
1958-06-01,47.5
1958-07-01,47.5
1958-08-01,47.6
1958-09-01,47.7
1958-10-01,47.8
1958-11-01,48.0
1958-12-01,48.3
1959-01-01,48.9
1959-02-01,49.5
1959-03-01,50.1
1959-04-01,50.4
1959-05-01,51.1
1959-06-01,51.7
1959-07-01,52.3
1959-08-01,53.1
1959-09-01,53.7
1959-10-01,54.3
1959-11-01,54.8
1959-12-01,55.9
1960-01-01,55.9
1960-02-01,56.3
1960-03-01,56.9
1960-04-01,57.7
1960-05-01,58.1
1960-06-01,58.4
1960-07-01,58.7
1960-08-01,59.0
1960-09-01,59.3
1960-10-01,59.5
1960-11-01,59.9
1960-12-01,60.0
1961-01-01,60.6
1961-02-01,60.4
1961-03-01,60.5
1961-04-01,60.0
1961-05-01,60.2
1961-06-01,60.3
1961-07-01,60.3
1961-08-01,60.6
1961-09-01,61.0
1961-10-01,61.2
1961-11-01,61.8
1961-12-01,62.2
1962-01-01,62.2
1962-02-01,62.7
1962-03-01,63.2
1962-04-01,63.8
1962-05-01,64.6
1962-06-01,65.1
1962-07-01,65.4
1962-08-01,66.1
1962-09-01,66.5
1962-10-01,67.0
1962-11-01,67.7
1962-12-01,68.1
1963-01-01,68.6
1963-02-01,69.5
1963-03-01,70.1
1963-04-01,70.8
1963-05-01,71.4
1963-06-01,71.9
1963-07-01,72.6
1963-08-01,73.6
1963-09-01,74.2
1963-10-01,75.1
1963-11-01,75.6
1963-12-01,76.6
1964-01-01,77.5
1964-02-01,78.0
1964-03-01,79.3
1964-04-01,79.9
1964-05-01,80.9
1964-06-01,81.4
1964-07-01,82.2
1964-08-01,83.0
1964-09-01,83.9
1964-10-01,84.5
1964-11-01,85.0
1964-12-01,86.0
1965-01-01,87.2
1965-02-01,88.3
1965-03-01,89.0
1965-04-01,90.0
1965-05-01,90.9
1965-06-01,91.8
1965-07-01,92.6
1965-08-01,93.3
1965-09-01,94.1
1965-10-01,94.8
1965-11-01,95.4
1965-12-01,96.0
1966-01-01,97.1
1966-02-01,98.0
1966-03-01,98.5
1966-04-01,98.8
1966-05-01,99.3
1966-06-01,99.7
1966-07-01,100.0
1966-08-01,100.6
1966-09-01,100.7
1966-10-01,101.0
1966-11-01,101.5
1966-12-01,101.9
1967-01-01,102.2
1967-02-01,102.6
1967-03-01,102.7
1967-04-01,102.8
1967-05-01,103.1
1967-06-01,103.6
1967-07-01,104.1
1967-08-01,104.7
1967-09-01,105.2
1967-10-01,105.5
1967-11-01,106.4
1967-12-01,106.9
1968-01-01,106.9
1968-02-01,107.4
1968-03-01,108.7
1968-04-01,109.5
1968-05-01,110.2
1968-06-01,110.9
1968-07-01,112.2
1968-08-01,112.9
1968-09-01,113.9
1968-10-01,115.3
1968-11-01,116.3
1968-12-01,117.4
1969-01-01,118.3
1969-02-01,119.8
1969-03-01,120.4
1969-04-01,121.3
1969-05-01,122.2
1969-06-01,123.1
1969-07-01,124.1
1969-08-01,124.7
1969-09-01,125.5
1969-10-01,126.1
1969-11-01,126.7
1969-12-01,127.1
1970-01-01,128.0
1970-02-01,128.4
1970-03-01,128.3
1970-04-01,128.1
1970-05-01,128.2
1970-06-01,128.9
1970-07-01,130.0
1970-08-01,130.4
1970-09-01,131.0
1970-10-01,131.2
1970-11-01,130.9
1970-12-01,131.5
1971-01-01,134.5
1971-02-01,135.3
1971-03-01,135.9
1971-04-01,136.8
1971-05-01,137.5
1971-06-01,138.5
1971-07-01,140.0
1971-08-01,141.4
1971-09-01,142.8
1971-10-01,143.9
1971-11-01,145.6
1971-12-01,146.9
1972-01-01,147.9
1972-02-01,148.7
1972-03-01,150.9
1972-04-01,152.2
1972-05-01,153.9
1972-06-01,155.8
1972-07-01,157.3
1972-08-01,159.0
1972-09-01,160.6
1972-10-01,162.2
1972-11-01,164.0
1972-12-01,166.1
1973-01-01,169.6
1973-02-01,172.1
1973-03-01,174.1
1973-04-01,175.8
1973-05-01,178.0
1973-06-01,180.1
1973-07-01,182.2
1973-08-01,184.2
1973-09-01,185.3
1973-10-01,187.3
1973-11-01,189.2
1973-12-01,190.0
1974-01-01,191.5
1974-02-01,193.1
1974-03-01,193.7
1974-04-01,194.8
1974-05-01,195.9
1974-06-01,196.8
1974-07-01,198.0
1974-08-01,199.0
1974-09-01,199.3
1974-10-01,199.3
1974-11-01,199.2
1974-12-01,198.8
1975-01-01,199.3
1975-02-01,199.9
1975-03-01,199.7
1975-04-01,199.2
1975-05-01,199.0
1975-06-01,196.0
1975-07-01,197.2
1975-08-01,197.6
1975-09-01,198.8
1975-10-01,199.8
1975-11-01,201.3
1975-12-01,203.6
1976-01-01,205.5
1976-02-01,206.7
1976-03-01,208.6
1976-04-01,210.5
1976-05-01,211.2
1976-06-01,212.5
1976-07-01,214.1
1976-08-01,215.2
1976-09-01,217.3
1976-10-01,219.6
1976-11-01,222.3
1976-12-01,224.8
1977-01-01,224.9
1977-02-01,227.9
1977-03-01,231.8
1977-04-01,234.9
1977-05-01,237.9
1977-06-01,240.8
1977-07-01,243.5
1977-08-01,246.3
1977-09-01,248.8
1977-10-01,252.8
1977-11-01,256.5
1977-12-01,257.5
1978-01-01,260.5
1978-02-01,263.7
1978-03-01,268.3
1978-04-01,271.8
1978-05-01,276.4
1978-06-01,281.8
1978-07-01,285.1
1978-08-01,289.0
1978-09-01,292.2
1978-10-01,294.9
1978-11-01,299.4
1978-12-01,302.1
1979-01-01,306.0
1979-02-01,309.7
1979-03-01,313.5
1979-04-01,317.0
1979-05-01,320.8
1979-06-01,323.5
1979-07-01,326.8
1979-08-01,330.9
1979-09-01,334.4
1979-10-01,338.2
1979-11-01,341.9
1979-12-01,343.5
1980-01-01,349.2
1980-02-01,350.9
1980-03-01,351.8
1980-04-01,349.2
1980-05-01,346.4
1980-06-01,344.3
1980-07-01,344.5
1980-08-01,345.3
1980-09-01,345.8
1980-10-01,347.2
1980-11-01,348.2
1980-12-01,350.1
1981-01-01,350.2
1981-02-01,350.8
1981-03-01,353.9
1981-04-01,355.3
1981-05-01,357.3
1981-06-01,358.8
1981-07-01,360.4
1981-08-01,361.2
1981-09-01,365.4
1981-10-01,366.1
1981-11-01,367.7
1981-12-01,367.6
1982-01-01,370.2
1982-02-01,370.3
1982-03-01,371.9
1982-04-01,373.2
1982-05-01,374.8
1982-06-01,376.3
1982-07-01,376.6
1982-08-01,377.3
1982-09-01,378.6
1982-10-01,379.1
1982-11-01,381.1
1982-12-01,384.6
1983-01-01,385.5
1983-02-01,384.9
1983-03-01,389.8
1983-04-01,392.5
1983-05-01,394.1
1983-06-01,399.3
1983-07-01,404.2
1983-08-01,409.0
1983-09-01,413.2
1983-10-01,419.3
1983-11-01,425.8
1983-12-01,433.7
1984-01-01,437.3
1984-02-01,445.5
1984-03-01,452.1
1984-04-01,457.4
1984-05-01,467.3
1984-06-01,475.9
1984-07-01,482.2
1984-08-01,488.9
1984-09-01,493.6
1984-10-01,499.7
1984-11-01,505.4
1984-12-01,512.8
1985-01-01,517.8
1985-02-01,526.0
1985-03-01,536.7
1985-04-01,543.5
1985-05-01,550.2
1985-06-01,548.9
1985-07-01,554.7
1985-08-01,560.0
1985-09-01,568.1
1985-10-01,574.0
1985-11-01,579.1
1985-12-01,584.7
1986-01-01,590.3
1986-02-01,595.9
1986-03-01,600.7
1986-04-01,605.0
1986-05-01,610.2
1986-06-01,613.7
1986-07-01,617.6
1986-08-01,620.5
1986-09-01,626.8
1986-10-01,635.9
1986-11-01,636.3
1986-12-01,638.9
1987-01-01,637.6
1987-02-01,638.2
1987-03-01,638.9
1987-04-01,642.4
1987-05-01,644.0
1987-06-01,647.2
1987-07-01,653.1
1987-08-01,657.6
1987-09-01,659.9
1987-10-01,664.3
1987-11-01,668.2
1987-12-01,671.7
1988-01-01,676.9
1988-02-01,681.0
1988-03-01,686.0
1988-04-01,691.4
1988-05-01,696.2
1988-06-01,699.6
1988-07-01,702.3
1988-08-01,707.3
1988-09-01,709.4
1988-10-01,713.7
1988-11-01,717.3
1988-12-01,729.9
1989-01-01,743.4
1989-02-01,745.1
1989-03-01,750.5
1989-04-01,754.3
1989-05-01,758.2
1989-06-01,761.4
1989-07-01,765.0
1989-08-01,767.8
1989-09-01,771.5
1989-10-01,774.3
1989-11-01,777.5
1989-12-01,781.9
1990-01-01,784.4
1990-02-01,786.0
1990-03-01,787.0
1990-04-01,787.5
1990-05-01,789.2
1990-06-01,793.6
1990-07-01,795.8
1990-08-01,797.3
1990-09-01,798.2
1990-10-01,800.8
1990-11-01,800.7
1990-12-01,796.4
1991-01-01,792.8
1991-02-01,791.9
1991-03-01,792.3
1991-04-01,792.4
1991-05-01,792.6
1991-06-01,790.5
1991-07-01,788.7
1991-08-01,787.0
1991-09-01,785.5
1991-10-01,783.3
1991-11-01,781.3
1991-12-01,781.1
1992-01-01,781.6
1992-02-01,781.7
1992-03-01,782.0
1992-04-01,779.5
1992-05-01,779.1
1992-06-01,778.5
1992-07-01,779.9
1992-08-01,781.6
1992-09-01,781.1
1992-10-01,781.6
1992-11-01,782.8
1992-12-01,784.9
1993-01-01,789.6
1993-02-01,793.2
1993-03-01,793.7
1993-04-01,799.7
1993-05-01,799.5
1993-06-01,803.3
1993-07-01,809.7
1993-08-01,814.3
1993-09-01,819.7
1993-10-01,827.7
1993-11-01,834.3
1993-12-01,844.1
1994-01-01,849.2
1994-02-01,855.6
1994-03-01,867.3
1994-04-01,877.3
1994-05-01,888.4
1994-06-01,899.1
1994-07-01,907.4
1994-08-01,921.1
1994-09-01,931.9
1994-10-01,944.8
1994-11-01,955.2
1994-12-01,966.5
1995-01-01,978.1
1995-02-01,984.3
1995-03-01,999.7
1995-04-01,1010.7
1995-05-01,1024.4
1995-06-01,1037.0
1995-07-01,1047.5
1995-08-01,1059.9
1995-09-01,1074.7
1995-10-01,1082.7
1995-11-01,1094.4
1995-12-01,1103.3
1996-01-01,1111.1
1996-02-01,1122.1
1996-03-01,1133.3
1996-04-01,1141.8
1996-05-01,1148.3
1996-06-01,1155.1
1996-07-01,1169.1
1996-08-01,1177.5
1996-09-01,1178.6
1996-10-01,1185.4
1996-11-01,1190.5
1996-12-01,1195.4
