observation_date,MICH_20000215
1991-08-01,3.2
1991-09-01,3.0
1991-10-01,3.2
1991-11-01,2.9
1991-12-01,2.7
1992-01-01,2.7
1992-02-01,2.6
1992-03-01,2.6
1992-04-01,3.0
1992-05-01,2.9
1992-06-01,3.1
1992-07-01,2.7
1992-08-01,2.8
1992-09-01,3.0
1992-10-01,2.8
1992-11-01,2.9
1992-12-01,2.8
1993-01-01,2.9
1993-02-01,3.2
1993-03-01,3.1
1993-04-01,3.0
1993-05-01,2.9
1993-06-01,3.5
1993-07-01,3.0
1993-08-01,3.2
1993-09-01,3.0
1993-10-01,3.3
1993-11-01,2.8
1993-12-01,3.0
1994-01-01,2.8
1994-02-01,2.8
1994-03-01,3.0
1994-04-01,3.0
1994-05-01,3.1
1994-06-01,2.7
1994-07-01,2.9
1994-08-01,3.1
1994-09-01,3.4
1994-10-01,3.0
1994-11-01,3.2
1994-12-01,3.0
1995-01-01,3.0
1995-02-01,3.0
1995-03-01,3.2
1995-04-01,3.3
1995-05-01,3.0
1995-06-01,2.9
1995-07-01,2.9
1995-08-01,2.9
1995-09-01,2.8
1995-10-01,2.9
1995-11-01,2.8
1995-12-01,2.7
1996-01-01,2.8
1996-02-01,2.8
1996-03-01,2.9
1996-04-01,3.0
1996-05-01,3.1
1996-06-01,2.9
1996-07-01,3.0
1996-08-01,3.1
1996-09-01,3.2
1996-10-01,3.0
1996-11-01,3.0
1996-12-01,3.0
1997-01-01,3.0
1997-02-01,3.0
1997-03-01,2.8
1997-04-01,3.0
1997-05-01,2.9
1997-06-01,2.8
1997-07-01,2.7
1997-08-01,2.7
1997-09-01,2.8
1997-10-01,2.8
1997-11-01,2.9
1997-12-01,2.8
1998-01-01,2.3
1998-02-01,2.4
1998-03-01,2.5
1998-04-01,2.4
1998-05-01,2.6
1998-06-01,2.7
1998-07-01,2.6
1998-08-01,2.4
1998-09-01,2.3
1998-10-01,2.5
1998-11-01,2.3
1998-12-01,2.5
1999-01-01,2.7
1999-02-01,2.5
1999-03-01,2.7
1999-04-01,2.7
1999-05-01,2.8
1999-06-01,2.5
1999-07-01,2.7
1999-08-01,2.8
1999-09-01,2.7
1999-10-01,2.9
1999-11-01,2.9
1999-12-01,3.0
2000-01-01,3.0
