observation_date,TOTALSL_20010215
1950-06-01,21.1
1950-07-01,22.1
1950-08-01,22.7
1950-09-01,23.2
1950-10-01,23.2
1950-11-01,23.3
1950-12-01,23.2
1951-01-01,23.8
1951-02-01,24.1
1951-03-01,24.3
1951-04-01,24.1
1951-05-01,24.0
1951-06-01,23.8
1951-07-01,23.7
1951-08-01,23.9
1951-09-01,24.1
1951-10-01,24.3
1951-11-01,24.6
1951-12-01,24.6
1952-01-01,24.8
1952-02-01,25.2
1952-03-01,25.2
1952-04-01,25.5
1952-05-01,26.1
1952-06-01,26.8
1952-07-01,27.2
1952-08-01,27.5
1952-09-01,27.9
1952-10-01,28.5
1952-11-01,29.0
1952-12-01,29.7
1953-01-01,30.5
1953-02-01,30.9
1953-03-01,31.6
1953-04-01,32.1
1953-05-01,32.4
1953-06-01,32.5
1953-07-01,32.8
1953-08-01,33.1
1953-09-01,33.3
1953-10-01,33.5
1953-11-01,33.6
1953-12-01,33.7
1954-01-01,34.1
1954-02-01,33.7
1954-03-01,33.5
1954-04-01,33.7
1954-05-01,33.7
1954-06-01,33.8
1954-07-01,34.1
1954-08-01,34.0
1954-09-01,34.1
1954-10-01,34.4
1954-11-01,34.6
1954-12-01,35.0
1955-01-01,35.4
1955-02-01,35.9
1955-03-01,36.5
1955-04-01,37.2
1955-05-01,37.7
1955-06-01,38.5
1955-07-01,39.0
1955-08-01,39.7
1955-09-01,40.4
1955-10-01,40.8
1955-11-01,41.4
1955-12-01,41.9
1956-01-01,42.1
1956-02-01,42.6
1956-03-01,43.2
1956-04-01,43.4
1956-05-01,43.8
1956-06-01,44.1
1956-07-01,44.2
1956-08-01,44.5
1956-09-01,44.8
1956-10-01,44.9
1956-11-01,45.4
1956-12-01,45.4
1957-01-01,45.7
1957-02-01,46.0
1957-03-01,46.2
1957-04-01,46.5
1957-05-01,46.8
1957-06-01,47.0
1957-07-01,47.4
1957-08-01,47.6
1957-09-01,47.7
1957-10-01,47.9
1957-11-01,48.0
1957-12-01,48.1
1958-01-01,48.3
1958-02-01,48.1
1958-03-01,47.8
1958-04-01,47.7
1958-05-01,47.6
1958-06-01,47.5
1958-07-01,47.6
1958-08-01,47.6
1958-09-01,47.7
1958-10-01,47.8
1958-11-01,48.0
1958-12-01,48.4
1959-01-01,49.0
1959-02-01,49.5
1959-03-01,50.0
1959-04-01,50.5
1959-05-01,51.0
1959-06-01,51.7
1959-07-01,52.4
1959-08-01,53.0
1959-09-01,53.7
1959-10-01,54.4
1959-11-01,54.8
1959-12-01,56.0
1960-01-01,56.0
1960-02-01,56.4
1960-03-01,56.9
1960-04-01,57.7
1960-05-01,58.0
1960-06-01,58.4
1960-07-01,58.7
1960-08-01,58.9
1960-09-01,59.4
1960-10-01,59.6
1960-11-01,59.9
1960-12-01,60.0
1961-01-01,60.7
1961-02-01,60.3
1961-03-01,60.5
1961-04-01,60.1
1961-05-01,60.2
1961-06-01,60.3
1961-07-01,60.4
1961-08-01,60.6
1961-09-01,60.9
1961-10-01,61.2
1961-11-01,61.7
1961-12-01,62.2
1962-01-01,62.3
1962-02-01,62.6
1962-03-01,63.1
1962-04-01,63.9
1962-05-01,64.6
1962-06-01,65.1
1962-07-01,65.5
1962-08-01,66.1
1962-09-01,66.4
1962-10-01,67.0
1962-11-01,67.6
1962-12-01,68.1
1963-01-01,68.7
1963-02-01,69.4
1963-03-01,70.1
1963-04-01,70.8
1963-05-01,71.3
1963-06-01,71.9
1963-07-01,72.7
1963-08-01,73.6
1963-09-01,74.2
1963-10-01,75.1
1963-11-01,75.6
1963-12-01,76.6
1964-01-01,77.5
1964-02-01,78.3
1964-03-01,79.2
1964-04-01,79.9
1964-05-01,80.8
1964-06-01,81.4
1964-07-01,82.3
1964-08-01,83.0
1964-09-01,83.9
1964-10-01,84.5
1964-11-01,84.9
1964-12-01,86.0
1965-01-01,87.2
1965-02-01,88.2
1965-03-01,88.9
1965-04-01,90.0
1965-05-01,90.9
1965-06-01,91.8
1965-07-01,92.7
1965-08-01,93.3
1965-09-01,94.1
1965-10-01,94.8
1965-11-01,95.4
1965-12-01,96.0
1966-01-01,97.0
1966-02-01,97.8
1966-03-01,98.4
1966-04-01,98.8
1966-05-01,99.3
1966-06-01,99.8
1966-07-01,100.1
1966-08-01,100.6
1966-09-01,100.7
1966-10-01,101.0
1966-11-01,101.4
1966-12-01,101.8
1967-01-01,102.2
1967-02-01,102.4
1967-03-01,102.7
1967-04-01,102.9
1967-05-01,103.2
1967-06-01,103.7
1967-07-01,104.1
1967-08-01,104.7
1967-09-01,105.2
1967-10-01,105.4
1967-11-01,106.3
1967-12-01,106.8
1968-01-01,106.8
1968-02-01,107.9
1968-03-01,108.7
1968-04-01,109.6
1968-05-01,110.4
1968-06-01,111.1
1968-07-01,112.1
1968-08-01,112.8
1968-09-01,113.8
1968-10-01,115.2
1968-11-01,116.2
1968-12-01,117.4
1969-01-01,118.2
1969-02-01,119.4
1969-03-01,120.4
1969-04-01,121.5
1969-05-01,122.6
1969-06-01,123.4
1969-07-01,124.0
1969-08-01,124.6
1969-09-01,125.3
1969-10-01,126.0
1969-11-01,126.6
1969-12-01,127.2
1970-01-01,127.8
1970-02-01,128.2
1970-03-01,128.3
1970-04-01,128.4
1970-05-01,128.5
1970-06-01,129.2
1970-07-01,129.9
1970-08-01,130.2
1970-09-01,130.9
1970-10-01,131.1
1970-11-01,130.8
1970-12-01,131.6
1971-01-01,134.2
1971-02-01,134.9
1971-03-01,135.7
1971-04-01,137.0
1971-05-01,137.8
1971-06-01,138.8
1971-07-01,139.9
1971-08-01,141.3
1971-09-01,142.8
1971-10-01,143.9
1971-11-01,145.6
1971-12-01,146.9
1972-01-01,147.7
1972-02-01,148.9
1972-03-01,150.8
1972-04-01,152.3
1972-05-01,154.2
1972-06-01,156.2
1972-07-01,157.3
1972-08-01,158.9
1972-09-01,160.6
1972-10-01,162.2
1972-11-01,164.1
1972-12-01,166.2
1973-01-01,169.3
1973-02-01,171.6
1973-03-01,173.9
1973-04-01,175.8
1973-05-01,178.1
1973-06-01,180.4
1973-07-01,182.3
1973-08-01,184.3
1973-09-01,185.3
1973-10-01,187.5
1973-11-01,189.3
1973-12-01,190.1
1974-01-01,191.3
1974-02-01,192.5
1974-03-01,193.4
1974-04-01,194.6
1974-05-01,195.9
1974-06-01,196.9
1974-07-01,198.3
1974-08-01,199.3
1974-09-01,199.6
1974-10-01,199.5
1974-11-01,199.3
1974-12-01,198.9
1975-01-01,199.1
1975-02-01,199.5
1975-03-01,199.1
1975-04-01,198.7
1975-05-01,198.7
1975-06-01,196.0
1975-07-01,197.6
1975-08-01,198.2
1975-09-01,199.4
1975-10-01,200.4
1975-11-01,201.5
1975-12-01,204.0
1976-01-01,205.5
1976-02-01,206.7
1976-03-01,208.3
1976-04-01,210.5
1976-05-01,211.4
1976-06-01,213.2
1976-07-01,215.3
1976-08-01,216.5
1976-09-01,218.7
1976-10-01,220.9
1976-11-01,222.8
1976-12-01,225.7
1977-01-01,225.6
1977-02-01,228.3
1977-03-01,231.9
1977-04-01,235.2
1977-05-01,238.6
1977-06-01,242.0
1977-07-01,245.0
1977-08-01,248.0
1977-09-01,250.8
1977-10-01,254.9
1977-11-01,258.3
1977-12-01,260.1
1978-01-01,262.2
1978-02-01,265.2
1978-03-01,269.7
1978-04-01,273.5
1978-05-01,278.6
1978-06-01,284.4
1978-07-01,288.1
1978-08-01,292.1
1978-09-01,295.4
1978-10-01,298.0
1978-11-01,301.9
1978-12-01,305.2
1979-01-01,308.9
1979-02-01,312.5
1979-03-01,316.2
1979-04-01,319.9
1979-05-01,324.1
1979-06-01,327.0
1979-07-01,330.8
1979-08-01,334.6
1979-09-01,338.2
1979-10-01,341.9
1979-11-01,345.0
1979-12-01,347.1
1980-01-01,348.9
1980-02-01,351.4
1980-03-01,351.3
1980-04-01,349.4
1980-05-01,346.6
1980-06-01,344.6
1980-07-01,344.9
1980-08-01,345.3
1980-09-01,345.9
1980-10-01,347.2
1980-11-01,347.5
1980-12-01,349.3
1981-01-01,350.1
1981-02-01,351.6
1981-03-01,353.7
1981-04-01,355.6
1981-05-01,357.6
1981-06-01,359.1
1981-07-01,360.8
1981-08-01,361.1
1981-09-01,365.3
1981-10-01,366.0
1981-11-01,367.1
1981-12-01,366.5
1982-01-01,370.3
1982-02-01,371.4
1982-03-01,371.8
1982-04-01,373.4
1982-05-01,375.1
1982-06-01,376.6
1982-07-01,376.8
1982-08-01,377.1
1982-09-01,378.4
1982-10-01,378.9
1982-11-01,380.5
1982-12-01,383.5
1983-01-01,385.6
1983-02-01,386.3
1983-03-01,389.7
1983-04-01,392.7
1983-05-01,394.4
1983-06-01,399.5
1983-07-01,404.2
1983-08-01,408.9
1983-09-01,412.9
1983-10-01,418.9
1983-11-01,425.3
1983-12-01,432.5
1984-01-01,437.5
1984-02-01,447.4
1984-03-01,452.2
1984-04-01,457.5
1984-05-01,467.6
1984-06-01,476.0
1984-07-01,482.0
1984-08-01,488.8
1984-09-01,493.1
1984-10-01,499.2
1984-11-01,504.7
1984-12-01,511.8
1985-01-01,518.4
1985-02-01,526.8
1985-03-01,536.1
1985-04-01,543.5
1985-05-01,549.9
1985-06-01,555.1
1985-07-01,561.5
1985-08-01,567.0
1985-09-01,575.8
1985-10-01,581.8
1985-11-01,587.8
1985-12-01,593.0
1986-01-01,598.8
1986-02-01,603.7
1986-03-01,606.4
1986-04-01,612.4
1986-05-01,618.3
1986-06-01,622.2
1986-07-01,627.3
1986-08-01,631.0
1986-09-01,638.1
1986-10-01,645.8
1986-11-01,645.7
1986-12-01,646.6
1987-01-01,645.0
1987-02-01,644.2
1987-03-01,642.8
1987-04-01,647.8
1987-05-01,649.7
1987-06-01,653.9
1987-07-01,658.5
1987-08-01,662.9
1987-09-01,666.7
1987-10-01,671.5
1987-11-01,674.9
1987-12-01,676.3
1988-01-01,682.0
1988-02-01,685.8
1988-03-01,689.9
1988-04-01,694.8
1988-05-01,698.8
1988-06-01,701.7
1988-07-01,704.3
1988-08-01,709.4
1988-09-01,710.6
1988-10-01,713.5
1988-11-01,716.8
1988-12-01,718.8
1989-01-01,735.7
1989-02-01,739.3
1989-03-01,746.2
1989-04-01,750.8
1989-05-01,755.2
1989-06-01,758.9
1989-07-01,761.8
1989-08-01,764.2
1989-09-01,767.0
1989-10-01,770.3
1989-11-01,774.7
1989-12-01,778.7
1990-01-01,781.5
1990-02-01,782.2
1990-03-01,781.9
1990-04-01,781.7
1990-05-01,782.5
1990-06-01,785.5
1990-07-01,789.4
1990-08-01,791.1
1990-09-01,792.7
1990-10-01,794.4
1990-11-01,794.9
1990-12-01,789.1
1991-01-01,787.1
1991-02-01,787.2
1991-03-01,788.1
1991-04-01,787.4
1991-05-01,787.3
1991-06-01,785.3
1991-07-01,783.3
1991-08-01,781.4
1991-09-01,780.2
1991-10-01,777.8
1991-11-01,777.4
1991-12-01,777.1
1992-01-01,777.7
1992-02-01,778.0
1992-03-01,777.4
1992-04-01,775.4
1992-05-01,775.1
1992-06-01,774.5
1992-07-01,775.0
1992-08-01,776.5
1992-09-01,776.6
1992-10-01,775.8
1992-11-01,778.8
1992-12-01,782.2
1993-01-01,785.1
1993-02-01,789.5
1993-03-01,788.9
1993-04-01,794.8
1993-05-01,794.5
1993-06-01,798.4
1993-07-01,803.8
1993-08-01,808.5
1993-09-01,814.7
1993-10-01,821.5
1993-11-01,830.1
1993-12-01,838.8
1994-01-01,844.7
1994-02-01,852.6
1994-03-01,863.2
1994-04-01,872.6
1994-05-01,884.0
1994-06-01,895.1
1994-07-01,901.7
1994-08-01,915.3
1994-09-01,927.6
1994-10-01,938.1
1994-11-01,950.5
1994-12-01,960.4
1995-01-01,972.8
1995-02-01,980.3
1995-03-01,995.0
1995-04-01,1004.8
1995-05-01,1018.2
1995-06-01,1029.9
1995-07-01,1037.7
1995-08-01,1049.2
1995-09-01,1065.7
1995-10-01,1071.5
1995-11-01,1088.6
1995-12-01,1095.8
1996-01-01,1103.1
1996-02-01,1114.2
1996-03-01,1123.4
1996-04-01,1132.7
1996-05-01,1141.8
1996-06-01,1151.2
1996-07-01,1161.5
1996-08-01,1168.0
1996-09-01,1170.7
1996-10-01,1173.3
1996-11-01,1180.9
1996-12-01,1182.6
1997-01-01,1190.8
1997-02-01,1196.0
1997-03-01,1197.4
1997-04-01,1205.9
1997-05-01,1210.1
1997-06-01,1212.1
1997-07-01,1216.2
1997-08-01,1219.8
1997-09-01,1224.0
1997-10-01,1228.9
1997-11-01,1228.4
1997-12-01,1234.5
1998-01-01,1235.0
1998-02-01,1239.3
1998-03-01,1247.7
1998-04-01,1251.9
1998-05-01,1254.3
1998-06-01,1264.3
1998-07-01,1268.9
1998-08-01,1274.9
1998-09-01,1284.0
1998-10-01,1294.0
1998-11-01,1297.9
1998-12-01,1301.0
1999-01-01,1315.4
1999-02-01,1324.3
1999-03-01,1331.7
1999-04-01,1333.4
1999-05-01,1343.4
1999-06-01,1348.4
1999-07-01,1356.1
1999-08-01,1364.5
1999-09-01,1366.3
1999-10-01,1371.6
1999-11-01,1382.7
1999-12-01,1393.7
2000-01-01,1409.1
2000-02-01,1418.5
2000-03-01,1429.2
2000-04-01,1435.6
2000-05-01,1447.4
2000-06-01,1462.8
2000-07-01,1470.8
2000-08-01,1484.1
2000-09-01,1492.9
2000-10-01,1508.1
2000-11-01,1522.0
2000-12-01,1525.0
