observation_date,PERMIT_20060515
1979-05-01,1684.0
1979-06-01,1640.0
1979-07-01,1534.0
1979-08-01,1591.0
1979-09-01,1638.0
1979-10-01,1481.0
1979-11-01,1276.0
1979-12-01,1254.0
1980-01-01,1280.0
1980-02-01,1199.0
1980-03-01,988.0
1980-04-01,808.0
1980-05-01,861.0
1980-06-01,1118.0
1980-07-01,1259.0
1980-08-01,1367.0
1980-09-01,1484.0
1980-10-01,1366.0
1980-11-01,1383.0
1980-12-01,1249.0
1981-01-01,1221.0
1981-02-01,1199.0
1981-03-01,1183.0
1981-04-01,1190.0
1981-05-01,1173.0
1981-06-01,976.0
1981-07-01,935.0
1981-08-01,889.0
1981-09-01,847.0
1981-10-01,731.0
1981-11-01,748.0
1981-12-01,796.0
1982-01-01,794.0
1982-02-01,808.0
1982-03-01,891.0
1982-04-01,888.0
1982-05-01,953.0
1982-06-01,913.0
1982-07-01,1044.0
1982-08-01,926.0
1982-09-01,1042.0
1982-10-01,1149.0
1982-11-01,1229.0
1982-12-01,1351.0
1983-01-01,1426.0
1983-02-01,1471.0
1983-03-01,1475.0
1983-04-01,1566.0
1983-05-01,1669.0
1983-06-01,1769.0
1983-07-01,1795.0
1983-08-01,1713.0
1983-09-01,1585.0
1983-10-01,1716.0
1983-11-01,1668.0
1983-12-01,1627.0
1984-01-01,1816.0
1984-02-01,1987.0
1984-03-01,1725.0
1984-04-01,1776.0
1984-05-01,1741.0
1984-06-01,1814.0
1984-07-01,1605.0
1984-08-01,1530.0
1984-09-01,1523.0
1984-10-01,1490.0
1984-11-01,1643.0
1984-12-01,1626.0
1985-01-01,1660.0
1985-02-01,1662.0
1985-03-01,1727.0
1985-04-01,1664.0
1985-05-01,1709.0
1985-06-01,1716.0
1985-07-01,1697.0
1985-08-01,1808.0
1985-09-01,1916.0
1985-10-01,1743.0
1985-11-01,1692.0
1985-12-01,1794.0
1986-01-01,1847.0
1986-02-01,1767.0
1986-03-01,1780.0
1986-04-01,1858.0
1986-05-01,1797.0
1986-06-01,1790.0
1986-07-01,1780.0
1986-08-01,1726.0
1986-09-01,1686.0
1986-10-01,1675.0
1986-11-01,1644.0
1986-12-01,1903.0
1987-01-01,1690.0
1987-02-01,1689.0
1987-03-01,1704.0
1987-04-01,1601.0
1987-05-01,1500.0
1987-06-01,1522.0
1987-07-01,1516.0
1987-08-01,1511.0
1987-09-01,1514.0
1987-10-01,1447.0
1987-11-01,1457.0
1987-12-01,1345.0
1988-01-01,1244.0
1988-02-01,1438.0
1988-03-01,1525.0
1988-04-01,1429.0
1988-05-01,1444.0
1988-06-01,1485.0
1988-07-01,1439.0
1988-08-01,1460.0
1988-09-01,1436.0
1988-10-01,1516.0
1988-11-01,1508.0
1988-12-01,1501.0
1989-01-01,1466.0
1989-02-01,1383.0
1989-03-01,1214.0
1989-04-01,1376.0
1989-05-01,1381.0
1989-06-01,1322.0
1989-07-01,1283.0
1989-08-01,1334.0
1989-09-01,1314.0
1989-10-01,1365.0
1989-11-01,1344.0
1989-12-01,1422.0
1990-01-01,1748.0
1990-02-01,1329.0
1990-03-01,1246.0
1990-04-01,1136.0
1990-05-01,1067.0
1990-06-01,1108.0
1990-07-01,1078.0
1990-08-01,1069.0
1990-09-01,976.0
1990-10-01,925.0
1990-11-01,941.0
1990-12-01,861.0
1991-01-01,786.0
1991-02-01,853.0
1991-03-01,911.0
1991-04-01,916.0
1991-05-01,991.0
1991-06-01,964.0
1991-07-01,973.0
1991-08-01,944.0
1991-09-01,974.0
1991-10-01,991.0
1991-11-01,984.0
1991-12-01,1061.0
1992-01-01,1077.0
1992-02-01,1146.0
1992-03-01,1082.0
1992-04-01,1054.0
1992-05-01,1056.0
1992-06-01,1057.0
1992-07-01,1089.0
1992-08-01,1075.0
1992-09-01,1114.0
1992-10-01,1132.0
1992-11-01,1118.0
1992-12-01,1176.0
1993-01-01,1177.0
1993-02-01,1148.0
1993-03-01,1056.0
1993-04-01,1104.0
1993-05-01,1112.0
1993-06-01,1130.0
1993-07-01,1174.0
1993-08-01,1230.0
1993-09-01,1251.0
1993-10-01,1287.0
1993-11-01,1357.0
1993-12-01,1461.0
1994-01-01,1390.0
1994-02-01,1269.0
1994-03-01,1342.0
1994-04-01,1392.0
1994-05-01,1396.0
1994-06-01,1357.0
1994-07-01,1335.0
1994-08-01,1377.0
1994-09-01,1412.0
1994-10-01,1397.0
1994-11-01,1340.0
1994-12-01,1396.0
1995-01-01,1282.0
1995-02-01,1254.0
1995-03-01,1226.0
1995-04-01,1259.0
1995-05-01,1271.0
1995-06-01,1305.0
1995-07-01,1354.0
1995-08-01,1386.0
1995-09-01,1421.0
1995-10-01,1400.0
1995-11-01,1430.0
1995-12-01,1442.0
1996-01-01,1387.0
1996-02-01,1420.0
1996-03-01,1437.0
1996-04-01,1463.0
1996-05-01,1457.0
1996-06-01,1429.0
1996-07-01,1450.0
1996-08-01,1413.0
1996-09-01,1392.0
1996-10-01,1358.0
1996-11-01,1412.0
1996-12-01,1411.0
1997-01-01,1382.0
1997-02-01,1445.0
1997-03-01,1436.0
1997-04-01,1421.0
1997-05-01,1414.0
1997-06-01,1402.0
1997-07-01,1440.0
1997-08-01,1449.0
1997-09-01,1494.0
1997-10-01,1499.0
1997-11-01,1469.0
1997-12-01,1456.0
1998-01-01,1555.0
1998-02-01,1647.0
1998-03-01,1605.0
1998-04-01,1547.0
1998-05-01,1554.0
1998-06-01,1551.0
1998-07-01,1610.0
1998-08-01,1654.0
1998-09-01,1577.0
1998-10-01,1719.0
1998-11-01,1672.0
1998-12-01,1742.0
1999-01-01,1732.0
1999-02-01,1720.0
1999-03-01,1665.0
1999-04-01,1600.0
1999-05-01,1640.0
1999-06-01,1702.0
1999-07-01,1682.0
1999-08-01,1671.0
1999-09-01,1551.0
1999-10-01,1649.0
1999-11-01,1672.0
1999-12-01,1683.0
2000-01-01,1727.0
2000-02-01,1692.0
2000-03-01,1651.0
2000-04-01,1597.0
2000-05-01,1543.0
2000-06-01,1572.0
2000-07-01,1542.0
2000-08-01,1552.0
2000-09-01,1570.0
2000-10-01,1577.0
2000-11-01,1614.0
2000-12-01,1543.0
2001-01-01,1699.0
2001-02-01,1656.0
2001-03-01,1659.0
2001-04-01,1666.0
2001-05-01,1665.0
2001-06-01,1626.0
2001-07-01,1598.0
2001-08-01,1615.0
2001-09-01,1565.0
2001-10-01,1566.0
2001-11-01,1651.0
2001-12-01,1680.0
2002-01-01,1665.0
2002-02-01,1787.0
2002-03-01,1691.0
2002-04-01,1669.0
2002-05-01,1716.0
2002-06-01,1758.0
2002-07-01,1738.0
2002-08-01,1695.0
2002-09-01,1803.0
2002-10-01,1799.0
2002-11-01,1771.0
2002-12-01,1896.0
2003-01-01,1808.0
2003-02-01,1854.0
2003-03-01,1757.0
2003-04-01,1803.0
2003-05-01,1835.0
2003-06-01,1875.0
2003-07-01,1885.0
2003-08-01,1966.0
2003-09-01,1961.0
2003-10-01,2012.0
2003-11-01,1918.0
2003-12-01,1987.0
2004-01-01,1963.0
2004-02-01,1984.0
2004-03-01,2064.0
2004-04-01,2069.0
2004-05-01,2129.0
2004-06-01,2014.0
2004-07-01,2114.0
2004-08-01,2058.0
2004-09-01,2039.0
2004-10-01,2093.0
2004-11-01,2093.0
2004-12-01,2081.0
2005-01-01,2136.0
2005-02-01,2093.0
2005-03-01,2021.0
2005-04-01,2148.0
2005-05-01,2062.0
2005-06-01,2132.0
2005-07-01,2171.0
2005-08-01,2138.0
2005-09-01,2219.0
2005-10-01,2103.0
2005-11-01,2163.0
2005-12-01,2075.0
2006-01-01,2216.0
2006-02-01,2179.0
2006-03-01,2094.0
