observation_date,CPIAUCSL_19980215
1956-05-01,27.03
1956-06-01,27.15
1956-07-01,27.29
1956-08-01,27.31
1956-09-01,27.35
1956-10-01,27.51
1956-11-01,27.51
1956-12-01,27.63
1957-01-01,27.67
1957-02-01,27.80
1957-03-01,27.86
1957-04-01,27.93
1957-05-01,28.00
1957-06-01,28.11
1957-07-01,28.19
1957-08-01,28.28
1957-09-01,28.32
1957-10-01,28.32
1957-11-01,28.41
1957-12-01,28.47
1958-01-01,28.64
1958-02-01,28.70
1958-03-01,28.87
1958-04-01,28.94
1958-05-01,28.94
1958-06-01,28.91
1958-07-01,28.89
1958-08-01,28.94
1958-09-01,28.91
1958-10-01,28.91
1958-11-01,28.95
1958-12-01,28.97
1959-01-01,29.01
1959-02-01,29.00
1959-03-01,28.97
1959-04-01,28.98
1959-05-01,29.04
1959-06-01,29.11
1959-07-01,29.15
1959-08-01,29.18
1959-09-01,29.25
1959-10-01,29.35
1959-11-01,29.35
1959-12-01,29.41
1960-01-01,29.37
1960-02-01,29.41
1960-03-01,29.41
1960-04-01,29.54
1960-05-01,29.57
1960-06-01,29.61
1960-07-01,29.55
1960-08-01,29.61
1960-09-01,29.61
1960-10-01,29.75
1960-11-01,29.78
1960-12-01,29.81
1961-01-01,29.84
1961-02-01,29.84
1961-03-01,29.84
1961-04-01,29.81
1961-05-01,29.84
1961-06-01,29.84
1961-07-01,29.92
1961-08-01,29.94
1961-09-01,29.98
1961-10-01,29.98
1961-11-01,29.98
1961-12-01,30.01
1962-01-01,30.04
1962-02-01,30.11
1962-03-01,30.17
1962-04-01,30.21
1962-05-01,30.24
1962-06-01,30.21
1962-07-01,30.22
1962-08-01,30.28
1962-09-01,30.42
1962-10-01,30.38
1962-11-01,30.38
1962-12-01,30.38
1963-01-01,30.44
1963-02-01,30.48
1963-03-01,30.51
1963-04-01,30.48
1963-05-01,30.51
1963-06-01,30.61
1963-07-01,30.69
1963-08-01,30.75
1963-09-01,30.72
1963-10-01,30.75
1963-11-01,30.78
1963-12-01,30.88
1964-01-01,30.94
1964-02-01,30.91
1964-03-01,30.94
1964-04-01,30.95
1964-05-01,30.98
1964-06-01,31.01
1964-07-01,31.02
1964-08-01,31.05
1964-09-01,31.08
1964-10-01,31.12
1964-11-01,31.21
1964-12-01,31.25
1965-01-01,31.28
1965-02-01,31.28
1965-03-01,31.31
1965-04-01,31.38
1965-05-01,31.48
1965-06-01,31.61
1965-07-01,31.58
1965-08-01,31.55
1965-09-01,31.62
1965-10-01,31.65
1965-11-01,31.75
1965-12-01,31.85
1966-01-01,31.88
1966-02-01,32.08
1966-03-01,32.18
1966-04-01,32.28
1966-05-01,32.35
1966-06-01,32.38
1966-07-01,32.45
1966-08-01,32.65
1966-09-01,32.75
1966-10-01,32.85
1966-11-01,32.88
1966-12-01,32.92
1967-01-01,32.90
1967-02-01,33.00
1967-03-01,33.00
1967-04-01,33.10
1967-05-01,33.10
1967-06-01,33.30
1967-07-01,33.40
1967-08-01,33.50
1967-09-01,33.60
1967-10-01,33.70
1967-11-01,33.90
1967-12-01,34.00
1968-01-01,34.10
1968-02-01,34.20
1968-03-01,34.30
1968-04-01,34.40
1968-05-01,34.50
1968-06-01,34.70
1968-07-01,34.90
1968-08-01,35.00
1968-09-01,35.10
1968-10-01,35.30
1968-11-01,35.40
1968-12-01,35.60
1969-01-01,35.70
1969-02-01,35.80
1969-03-01,36.10
1969-04-01,36.30
1969-05-01,36.40
1969-06-01,36.60
1969-07-01,36.80
1969-08-01,36.90
1969-09-01,37.10
1969-10-01,37.30
1969-11-01,37.50
1969-12-01,37.70
1970-01-01,37.90
1970-02-01,38.10
1970-03-01,38.30
1970-04-01,38.50
1970-05-01,38.60
1970-06-01,38.80
1970-07-01,38.90
1970-08-01,39.00
1970-09-01,39.20
1970-10-01,39.40
1970-11-01,39.60
1970-12-01,39.80
1971-01-01,39.90
1971-02-01,39.90
1971-03-01,40.00
1971-04-01,40.10
1971-05-01,40.30
1971-06-01,40.50
1971-07-01,40.60
1971-08-01,40.70
1971-09-01,40.80
1971-10-01,40.90
1971-11-01,41.00
1971-12-01,41.10
1972-01-01,41.20
1972-02-01,41.40
1972-03-01,41.40
1972-04-01,41.50
1972-05-01,41.60
1972-06-01,41.70
1972-07-01,41.80
1972-08-01,41.90
1972-09-01,42.10
1972-10-01,42.20
1972-11-01,42.40
1972-12-01,42.50
1973-01-01,42.70
1973-02-01,43.00
1973-03-01,43.40
1973-04-01,43.70
1973-05-01,43.90
1973-06-01,44.20
1973-07-01,44.20
1973-08-01,45.00
1973-09-01,45.20
1973-10-01,45.60
1973-11-01,45.90
1973-12-01,46.30
1974-01-01,46.80
1974-02-01,47.30
1974-03-01,47.80
1974-04-01,48.10
1974-05-01,48.60
1974-06-01,49.00
1974-07-01,49.30
1974-08-01,49.90
1974-09-01,50.60
1974-10-01,51.00
1974-11-01,51.50
1974-12-01,51.90
1975-01-01,52.30
1975-02-01,52.60
1975-03-01,52.80
1975-04-01,53.00
1975-05-01,53.10
1975-06-01,53.50
1975-07-01,54.00
1975-08-01,54.20
1975-09-01,54.60
1975-10-01,54.90
1975-11-01,55.30
1975-12-01,55.60
1976-01-01,55.80
1976-02-01,55.90
1976-03-01,56.00
1976-04-01,56.10
1976-05-01,56.40
1976-06-01,56.70
1976-07-01,57.00
1976-08-01,57.30
1976-09-01,57.60
1976-10-01,57.90
1976-11-01,58.10
1976-12-01,58.40
1977-01-01,58.70
1977-02-01,59.30
1977-03-01,59.60
1977-04-01,60.00
1977-05-01,60.20
1977-06-01,60.50
1977-07-01,60.80
1977-08-01,61.10
1977-09-01,61.30
1977-10-01,61.60
1977-11-01,62.00
1977-12-01,62.30
1978-01-01,62.70
1978-02-01,63.00
1978-03-01,63.40
1978-04-01,63.90
1978-05-01,64.50
1978-06-01,65.00
1978-07-01,65.50
1978-08-01,65.90
1978-09-01,66.50
1978-10-01,67.10
1978-11-01,67.50
1978-12-01,67.90
1979-01-01,68.50
1979-02-01,69.20
1979-03-01,69.90
1979-04-01,70.60
1979-05-01,71.40
1979-06-01,72.20
1979-07-01,73.00
1979-08-01,73.70
1979-09-01,74.40
1979-10-01,75.20
1979-11-01,76.00
1979-12-01,76.90
1980-01-01,78.00
1980-02-01,79.00
1980-03-01,80.10
1980-04-01,80.90
1980-05-01,81.70
1980-06-01,82.50
1980-07-01,82.60
1980-08-01,83.20
1980-09-01,83.90
1980-10-01,84.70
1980-11-01,85.60
1980-12-01,86.40
1981-01-01,87.20
1981-02-01,88.00
1981-03-01,88.60
1981-04-01,89.10
1981-05-01,89.70
1981-06-01,90.50
1981-07-01,91.50
1981-08-01,92.20
1981-09-01,93.10
1981-10-01,93.40
1981-11-01,93.80
1981-12-01,94.10
1982-01-01,94.40
1982-02-01,94.70
1982-03-01,94.70
1982-04-01,95.00
1982-05-01,95.90
1982-06-01,97.00
1982-07-01,97.50
1982-08-01,97.70
1982-09-01,97.70
1982-10-01,98.10
1982-11-01,98.00
1982-12-01,97.70
1983-01-01,97.90
1983-02-01,98.00
1983-03-01,98.10
1983-04-01,98.80
1983-05-01,99.20
1983-06-01,99.40
1983-07-01,99.80
1983-08-01,100.10
1983-09-01,100.40
1983-10-01,100.80
1983-11-01,101.10
1983-12-01,101.40
1984-01-01,102.10
1984-02-01,102.60
1984-03-01,102.90
1984-04-01,103.30
1984-05-01,103.50
1984-06-01,103.70
1984-07-01,104.10
1984-08-01,104.40
1984-09-01,104.70
1984-10-01,105.10
1984-11-01,105.30
1984-12-01,105.50
1985-01-01,105.70
1985-02-01,106.30
1985-03-01,106.80
1985-04-01,107.00
1985-05-01,107.20
1985-06-01,107.50
1985-07-01,107.70
1985-08-01,107.90
1985-09-01,108.10
1985-10-01,108.50
1985-11-01,109.00
1985-12-01,109.50
1986-01-01,109.90
1986-02-01,109.70
1986-03-01,109.10
1986-04-01,108.70
1986-05-01,109.00
1986-06-01,109.40
1986-07-01,109.50
1986-08-01,109.60
1986-09-01,110.00
1986-10-01,110.20
1986-11-01,110.40
1986-12-01,110.80
1987-01-01,111.50
1987-02-01,111.90
1987-03-01,112.30
1987-04-01,112.80
1987-05-01,113.10
1987-06-01,113.60
1987-07-01,113.90
1987-08-01,114.40
1987-09-01,114.80
1987-10-01,115.10
1987-11-01,115.50
1987-12-01,115.70
1988-01-01,116.10
1988-02-01,116.20
1988-03-01,116.60
1988-04-01,117.20
1988-05-01,117.60
1988-06-01,118.10
1988-07-01,118.60
1988-08-01,119.00
1988-09-01,119.60
1988-10-01,120.00
1988-11-01,120.40
1988-12-01,120.80
1989-01-01,121.30
1989-02-01,121.70
1989-03-01,122.30
1989-04-01,123.20
1989-05-01,123.80
1989-06-01,124.10
1989-07-01,124.60
1989-08-01,124.60
1989-09-01,124.90
1989-10-01,125.50
1989-11-01,125.90
1989-12-01,126.40
1990-01-01,127.60
1990-02-01,128.10
1990-03-01,128.60
1990-04-01,129.00
1990-05-01,129.20
1990-06-01,130.00
1990-07-01,130.60
1990-08-01,131.70
1990-09-01,132.60
1990-10-01,133.50
1990-11-01,133.80
1990-12-01,134.30
1991-01-01,134.80
1991-02-01,134.90
1991-03-01,134.90
1991-04-01,135.20
1991-05-01,135.70
1991-06-01,136.10
1991-07-01,136.30
1991-08-01,136.70
1991-09-01,137.10
1991-10-01,137.30
1991-11-01,137.90
1991-12-01,138.30
1992-01-01,138.40
1992-02-01,138.70
1992-03-01,139.20
1992-04-01,139.50
1992-05-01,139.80
1992-06-01,140.20
1992-07-01,140.60
1992-08-01,140.90
1992-09-01,141.20
1992-10-01,141.80
1992-11-01,142.20
1992-12-01,142.40
1993-01-01,142.80
1993-02-01,143.20
1993-03-01,143.50
1993-04-01,143.90
1993-05-01,144.30
1993-06-01,144.40
1993-07-01,144.60
1993-08-01,144.90
1993-09-01,145.10
1993-10-01,145.70
1993-11-01,146.00
1993-12-01,146.40
1994-01-01,146.40
1994-02-01,146.80
1994-03-01,147.10
1994-04-01,147.30
1994-05-01,147.60
1994-06-01,148.00
1994-07-01,148.50
1994-08-01,149.10
1994-09-01,149.40
1994-10-01,149.60
1994-11-01,149.90
1994-12-01,150.30
1995-01-01,150.60
1995-02-01,151.00
1995-03-01,151.30
1995-04-01,151.80
1995-05-01,152.10
1995-06-01,152.50
1995-07-01,152.60
1995-08-01,153.00
1995-09-01,153.20
1995-10-01,153.70
1995-11-01,153.80
1995-12-01,154.10
1996-01-01,154.70
1996-02-01,155.10
1996-03-01,155.60
1996-04-01,156.10
1996-05-01,156.50
1996-06-01,156.70
1996-07-01,157.10
1996-08-01,157.40
1996-09-01,157.90
1996-10-01,158.30
1996-11-01,158.80
1996-12-01,159.20
1997-01-01,159.40
1997-02-01,159.80
1997-03-01,159.90
1997-04-01,160.00
1997-05-01,160.10
1997-06-01,160.30
1997-07-01,160.60
1997-08-01,160.90
1997-09-01,161.30
1997-10-01,161.60
1997-11-01,161.80
1997-12-01,161.90
