observation_date,HOUST_19991015
1973-02-01,2289.0
1973-03-01,2365.0
1973-04-01,2084.0
1973-05-01,2266.0
1973-06-01,2067.0
1973-07-01,2123.0
1973-08-01,2051.0
1973-09-01,1874.0
1973-10-01,1677.0
1973-11-01,1724.0
1973-12-01,1526.0
1974-01-01,1451.0
1974-02-01,1752.0
1974-03-01,1555.0
1974-04-01,1607.0
1974-05-01,1426.0
1974-06-01,1513.0
1974-07-01,1316.0
1974-08-01,1142.0
1974-09-01,1150.0
1974-10-01,1070.0
1974-11-01,1026.0
1974-12-01,975.0
1975-01-01,1032.0
1975-02-01,904.0
1975-03-01,993.0
1975-04-01,1005.0
1975-05-01,1121.0
1975-06-01,1087.0
1975-07-01,1226.0
1975-08-01,1260.0
1975-09-01,1264.0
1975-10-01,1344.0
1975-11-01,1360.0
1975-12-01,1321.0
1976-01-01,1367.0
1976-02-01,1538.0
1976-03-01,1421.0
1976-04-01,1395.0
1976-05-01,1459.0
1976-06-01,1495.0
1976-07-01,1401.0
1976-08-01,1550.0
1976-09-01,1720.0
1976-10-01,1629.0
1976-11-01,1641.0
1976-12-01,1804.0
1977-01-01,1527.0
1977-02-01,1943.0
1977-03-01,2063.0
1977-04-01,1892.0
1977-05-01,1971.0
1977-06-01,1893.0
1977-07-01,2058.0
1977-08-01,2020.0
1977-09-01,1949.0
1977-10-01,2042.0
1977-11-01,2042.0
1977-12-01,2142.0
1978-01-01,1718.0
1978-02-01,1738.0
1978-03-01,2032.0
1978-04-01,2197.0
1978-05-01,2075.0
1978-06-01,2070.0
1978-07-01,2092.0
1978-08-01,1996.0
1978-09-01,1970.0
1978-10-01,1981.0
1978-11-01,2094.0
1978-12-01,2044.0
1979-01-01,1630.0
1979-02-01,1520.0
1979-03-01,1847.0
1979-04-01,1748.0
1979-05-01,1876.0
1979-06-01,1913.0
1979-07-01,1760.0
1979-08-01,1778.0
1979-09-01,1832.0
1979-10-01,1681.0
1979-11-01,1524.0
1979-12-01,1498.0
1980-01-01,1341.0
1980-02-01,1350.0
1980-03-01,1047.0
1980-04-01,1051.0
1980-05-01,927.0
1980-06-01,1196.0
1980-07-01,1269.0
1980-08-01,1436.0
1980-09-01,1471.0
1980-10-01,1523.0
1980-11-01,1510.0
1980-12-01,1482.0
1981-01-01,1547.0
1981-02-01,1246.0
1981-03-01,1306.0
1981-04-01,1360.0
1981-05-01,1140.0
1981-06-01,1045.0
1981-07-01,1041.0
1981-08-01,940.0
1981-09-01,911.0
1981-10-01,873.0
1981-11-01,837.0
1981-12-01,910.0
1982-01-01,843.0
1982-02-01,866.0
1982-03-01,931.0
1982-04-01,917.0
1982-05-01,1025.0
1982-06-01,902.0
1982-07-01,1166.0
1982-08-01,1046.0
1982-09-01,1144.0
1982-10-01,1173.0
1982-11-01,1372.0
1982-12-01,1303.0
1983-01-01,1586.0
1983-02-01,1699.0
1983-03-01,1606.0
1983-04-01,1472.0
1983-05-01,1776.0
1983-06-01,1733.0
1983-07-01,1785.0
1983-08-01,1910.0
1983-09-01,1710.0
1983-10-01,1715.0
1983-11-01,1785.0
1983-12-01,1688.0
1984-01-01,1897.0
1984-02-01,2260.0
1984-03-01,1663.0
1984-04-01,1851.0
1984-05-01,1774.0
1984-06-01,1843.0
1984-07-01,1732.0
1984-08-01,1586.0
1984-09-01,1698.0
1984-10-01,1590.0
1984-11-01,1689.0
1984-12-01,1612.0
1985-01-01,1711.0
1985-02-01,1632.0
1985-03-01,1800.0
1985-04-01,1821.0
1985-05-01,1680.0
1985-06-01,1676.0
1985-07-01,1684.0
1985-08-01,1743.0
1985-09-01,1676.0
1985-10-01,1834.0
1985-11-01,1698.0
1985-12-01,1942.0
1986-01-01,1972.0
1986-02-01,1848.0
1986-03-01,1876.0
1986-04-01,1933.0
1986-05-01,1854.0
1986-06-01,1847.0
1986-07-01,1782.0
1986-08-01,1807.0
1986-09-01,1687.0
1986-10-01,1681.0
1986-11-01,1623.0
1986-12-01,1833.0
1987-01-01,1774.0
1987-02-01,1784.0
1987-03-01,1726.0
1987-04-01,1614.0
1987-05-01,1628.0
1987-06-01,1594.0
1987-07-01,1575.0
1987-08-01,1605.0
1987-09-01,1695.0
1987-10-01,1515.0
1987-11-01,1656.0
1987-12-01,1400.0
1988-01-01,1271.0
1988-02-01,1473.0
1988-03-01,1532.0
1988-04-01,1573.0
1988-05-01,1421.0
1988-06-01,1478.0
1988-07-01,1467.0
1988-08-01,1493.0
1988-09-01,1492.0
1988-10-01,1522.0
1988-11-01,1569.0
1988-12-01,1563.0
1989-01-01,1621.0
1989-02-01,1425.0
1989-03-01,1422.0
1989-04-01,1339.0
1989-05-01,1331.0
1989-06-01,1397.0
1989-07-01,1427.0
1989-08-01,1332.0
1989-09-01,1279.0
1989-10-01,1410.0
1989-11-01,1351.0
1989-12-01,1251.0
1990-01-01,1551.0
1990-02-01,1437.0
1990-03-01,1289.0
1990-04-01,1248.0
1990-05-01,1212.0
1990-06-01,1177.0
1990-07-01,1171.0
1990-08-01,1115.0
1990-09-01,1110.0
1990-10-01,1014.0
1990-11-01,1145.0
1990-12-01,969.0
1991-01-01,798.0
1991-02-01,965.0
1991-03-01,921.0
1991-04-01,1001.0
1991-05-01,996.0
1991-06-01,1036.0
1991-07-01,1063.0
1991-08-01,1049.0
1991-09-01,1015.0
1991-10-01,1079.0
1991-11-01,1103.0
1991-12-01,1079.0
1992-01-01,1176.0
1992-02-01,1250.0
1992-03-01,1297.0
1992-04-01,1099.0
1992-05-01,1214.0
1992-06-01,1145.0
1992-07-01,1139.0
1992-08-01,1226.0
1992-09-01,1186.0
1992-10-01,1244.0
1992-11-01,1214.0
1992-12-01,1227.0
1993-01-01,1210.0
1993-02-01,1210.0
1993-03-01,1083.0
1993-04-01,1258.0
1993-05-01,1260.0
1993-06-01,1280.0
1993-07-01,1254.0
1993-08-01,1300.0
1993-09-01,1343.0
1993-10-01,1392.0
1993-11-01,1376.0
1993-12-01,1533.0
1994-01-01,1272.0
1994-02-01,1337.0
1994-03-01,1564.0
1994-04-01,1465.0
1994-05-01,1526.0
1994-06-01,1409.0
1994-07-01,1439.0
1994-08-01,1450.0
1994-09-01,1474.0
1994-10-01,1450.0
1994-11-01,1511.0
1994-12-01,1455.0
1995-01-01,1407.0
1995-02-01,1316.0
1995-03-01,1249.0
1995-04-01,1267.0
1995-05-01,1314.0
1995-06-01,1281.0
1995-07-01,1461.0
1995-08-01,1416.0
1995-09-01,1369.0
1995-10-01,1369.0
1995-11-01,1452.0
1995-12-01,1431.0
1996-01-01,1467.0
1996-02-01,1491.0
1996-03-01,1424.0
1996-04-01,1516.0
1996-05-01,1504.0
1996-06-01,1467.0
1996-07-01,1472.0
1996-08-01,1557.0
1996-09-01,1475.0
1996-10-01,1392.0
1996-11-01,1489.0
1996-12-01,1370.0
1997-01-01,1373.0
1997-02-01,1532.0
1997-03-01,1471.0
1997-04-01,1487.0
1997-05-01,1429.0
1997-06-01,1502.0
1997-07-01,1437.0
1997-08-01,1399.0
1997-09-01,1534.0
1997-10-01,1519.0
1997-11-01,1502.0
1997-12-01,1525.0
1998-01-01,1527.0
1998-02-01,1644.0
1998-03-01,1583.0
1998-04-01,1542.0
1998-05-01,1541.0
1998-06-01,1626.0
1998-07-01,1719.0
1998-08-01,1615.0
1998-09-01,1576.0
1998-10-01,1698.0
1998-11-01,1654.0
1998-12-01,1750.0
1999-01-01,1820.0
1999-02-01,1752.0
1999-03-01,1746.0
1999-04-01,1577.0
1999-05-01,1668.0
1999-06-01,1607.0
1999-07-01,1670.0
1999-08-01,1676.0
