observation_date,LNS13023621_20120215
1988-01-01,3141
1988-02-01,3176
1988-03-01,3148
1988-04-01,2899
1988-05-01,3223
1988-06-01,3119
1988-07-01,3111
1988-08-01,3105
1988-09-01,3102
1988-10-01,3034
1988-11-01,3005
1988-12-01,3041
1989-01-01,3075
1989-02-01,2858
1989-03-01,2847
1989-04-01,2912
1989-05-01,2755
1989-06-01,2808
1989-07-01,2950
1989-08-01,2977
1989-09-01,2931
1989-10-01,3026
1989-11-01,3120
1989-12-01,3119
1990-01-01,3182
1990-02-01,3045
1990-03-01,3076
1990-04-01,3161
1990-05-01,3169
1990-06-01,3190
1990-07-01,3313
1990-08-01,3486
1990-09-01,3603
1990-10-01,3723
1990-11-01,3948
1990-12-01,3922
1991-01-01,4235
1991-02-01,4463
1991-03-01,4686
1991-04-01,4592
1991-05-01,4658
1991-06-01,4751
1991-07-01,4765
1991-08-01,4762
1991-09-01,4833
1991-10-01,4799
1991-11-01,4842
1991-12-01,5038
1992-01-01,5032
1992-02-01,5370
1992-03-01,5407
1992-04-01,5400
1992-05-01,5615
1992-06-01,5641
1992-07-01,5513
1992-08-01,5424
1992-09-01,5463
1992-10-01,5450
1992-11-01,5266
1992-12-01,5110
1993-01-01,4986
1993-02-01,4885
1993-03-01,4980
1993-04-01,5016
1993-05-01,4876
1993-06-01,4969
1993-07-01,4911
1993-08-01,4890
1993-09-01,4784
1993-10-01,4811
1993-11-01,4482
1993-12-01,4477
1994-01-01,4295
1994-02-01,4209
1994-03-01,4080
1994-04-01,3839
1994-05-01,3584
1994-06-01,3727
1994-07-01,3791
1994-08-01,3743
1994-09-01,3636
1994-10-01,3604
1994-11-01,3547
1994-12-01,3454
1995-01-01,3535
1995-02-01,3382
1995-03-01,3376
1995-04-01,3497
1995-05-01,3573
1995-06-01,3413
1995-07-01,3504
1995-08-01,3477
1995-09-01,3426
1995-10-01,3541
1995-11-01,3538
1995-12-01,3479
1996-01-01,3554
1996-02-01,3547
1996-03-01,3491
1996-04-01,3680
1996-05-01,3479
1996-06-01,3360
1996-07-01,3334
1996-08-01,3047
1996-09-01,3192
1996-10-01,3166
1996-11-01,3311
1996-12-01,3157
1997-01-01,3224
1997-02-01,3169
1997-03-01,3174
1997-04-01,3062
1997-05-01,2994
1997-06-01,3095
1997-07-01,2882
1997-08-01,2965
1997-09-01,2955
1997-10-01,2918
1997-11-01,2874
1997-12-01,3031
1998-01-01,2848
1998-02-01,2820
1998-03-01,2980
1998-04-01,2675
1998-05-01,2827
1998-06-01,2807
1998-07-01,2818
1998-08-01,2811
1998-09-01,2838
1998-10-01,2835
1998-11-01,2785
1998-12-01,2812
1999-01-01,2725
1999-02-01,2725
1999-03-01,2611
1999-04-01,2677
1999-05-01,2657
1999-06-01,2654
1999-07-01,2684
1999-08-01,2631
1999-09-01,2552
1999-10-01,2535
1999-11-01,2518
1999-12-01,2433
2000-01-01,2527
2000-02-01,2655
2000-03-01,2521
2000-04-01,2298
2000-05-01,2460
2000-06-01,2442
2000-07-01,2477
2000-08-01,2641
2000-09-01,2524
2000-10-01,2462
2000-11-01,2518
2000-12-01,2612
2001-01-01,2803
2001-02-01,2902
2001-03-01,3053
2001-04-01,3084
2001-05-01,3171
2001-06-01,3300
2001-07-01,3357
2001-08-01,3485
2001-09-01,3630
2001-10-01,4328
2001-11-01,4476
2001-12-01,4455
2002-01-01,4491
2002-02-01,4449
2002-03-01,4441
2002-04-01,4624
2002-05-01,4650
2002-06-01,4639
2002-07-01,4608
2002-08-01,4591
2002-09-01,4544
2002-10-01,4698
2002-11-01,4743
2002-12-01,4775
2003-01-01,4713
2003-02-01,4786
2003-03-01,4758
2003-04-01,4807
2003-05-01,5102
2003-06-01,4983
2003-07-01,4955
2003-08-01,4994
2003-09-01,4959
2003-10-01,4827
2003-11-01,4671
2003-12-01,4510
2004-01-01,4383
2004-02-01,4276
2004-03-01,4562
2004-04-01,4334
2004-05-01,4192
2004-06-01,4105
2004-07-01,4210
2004-08-01,4003
2004-09-01,4031
2004-10-01,4069
2004-11-01,4059
2004-12-01,4026
2005-01-01,4029
2005-02-01,3904
2005-03-01,3768
2005-04-01,3637
2005-05-01,3610
2005-06-01,3642
2005-07-01,3580
2005-08-01,3454
2005-09-01,3749
2005-10-01,3539
2005-11-01,3515
2005-12-01,3483
2006-01-01,3349
2006-02-01,3366
2006-03-01,3399
2006-04-01,3505
2006-05-01,3473
2006-06-01,3369
2006-07-01,3313
2006-08-01,3283
2006-09-01,3233
2006-10-01,3125
2006-11-01,3275
2006-12-01,3243
2007-01-01,3405
2007-02-01,3395
2007-03-01,3169
2007-04-01,3354
2007-05-01,3360
2007-06-01,3383
2007-07-01,3675
2007-08-01,3625
2007-09-01,3591
2007-10-01,3706
2007-11-01,3683
2007-12-01,3871
2008-01-01,3847
2008-02-01,3891
2008-03-01,4115
2008-04-01,4054
2008-05-01,4251
2008-06-01,4391
2008-07-01,4541
2008-08-01,4951
2008-09-01,5265
2008-10-01,5715
2008-11-01,6243
2008-12-01,6664
2009-01-01,7445
2009-02-01,8066
2009-03-01,8514
2009-04-01,8912
2009-05-01,9415
2009-06-01,9546
2009-07-01,9479
2009-08-01,9671
2009-09-01,9981
2009-10-01,9951
2009-11-01,9757
2009-12-01,9645
2010-01-01,9327
2010-02-01,9570
2010-03-01,9508
2010-04-01,9328
2010-05-01,9220
2010-06-01,9085
2010-07-01,9029
2010-08-01,9191
2010-09-01,9170
2010-10-01,8916
2010-11-01,9462
2010-12-01,8877
2011-01-01,8463
2011-02-01,8337
2011-03-01,8244
2011-04-01,8181
2011-05-01,8250
2011-06-01,8233
2011-07-01,8146
2011-08-01,8120
2011-09-01,8028
2011-10-01,7924
2011-11-01,7599
2011-12-01,7602
2012-01-01,7321
